"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"05.02.2026",4.3,18.5,6.307225,7.5,7
"06.02.2026",2.7,15.3,6.60305,4.9,10
"07.02.2026",1,14.3,0,40.6,15
"08.02.2026",8.2,15.6,9.04804444444444,0,0
"09.02.2026",6.6,18.6,5.55314444444444,3.3,0
"10.02.2026",5.2,17.5,0,3.5,0
"11.02.2026",8.4,17.6,9.70145555555555,0,0
"12.02.2026",8.6,16.3,9.838575,0,0
"13.02.2026",8.4,16.1,9.05933333333333,0,0
"14.02.2026",8.6,18.1,9.91545555555556,0,0
"15.02.2026",8.6,18.4,9.95449444444444,0,0
