"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"19.04.2026",1.9,17.1,4.31956388888889,24.2,11
"20.04.2026",2,9.9,0,5.6,9
"21.04.2026",9.2,14.2,13.9915444444444,0,0
"22.04.2026",9.4,17,14,0,0
"23.04.2026",9.2,17.3,14,0,0
"24.04.2026",9,15.9,12.238125,0,0
"25.04.2026",9.2,18.9,13.3715833333333,0,0
"26.04.2026",7.6,7.7,9.78504166666667,0.4,0
"27.04.2026",8.2,6.1,12.3170888888889,0,0
"28.04.2026",8.2,7.4,13.8398555555556,0,0
"29.04.2026",8,8.2,14.1987416666667,0,0
