"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",8,12.36,8.92201,4,1.5
"München","Deutschland :de:",7.58,9.88,8.98130111111111,4,2
"Hamburg","Deutschland :de:",7.06,11.62,7.85821388888889,3,5.6
"Köln","Deutschland :de:",7.26,12.06,8.53574666666667,3,1.75
"Dresden","Deutschland :de:",8.32,12.2,9.25016777777778,3,0.46
"Leipzig","Deutschland :de:",7.96,12.1,8.98878388888889,4,2.5
"Frankfurt am Main","Deutschland :de:",8.12,12.9,9.87911,4,1.8
"Freiburg im Breisgau","Deutschland :de:",8.28,12.7,9.42582111111111,4,5.1
"Berchtesgaden","Deutschland :de:",7.22,8.38,8.48215611111111,4,3.4
"Garmisch-Partenkirchen","Deutschland :de:",7.76,8.98,9.87653166666667,4,1.3
"Binz (Rügen)","Deutschland :de:",7.96,8.76,8.49681888888889,4,0.5
"Heringsdorf (Usedom)","Deutschland :de:",8.12,9.48,8.86884,4,0.3
"Westerland (Sylt)","Deutschland :de:",7.72,5.84,8.84618611111111,4,1.63
"Wernigerode (Harz)","Deutschland :de:",7.12,10.22,8.93190611111111,4,2.7
"Cochem (Mosel)","Deutschland :de:",7.7,12.08,8.64354722222222,3,2.33
"Kempten (Allgäu)","Deutschland :de:",7.24,8.66,8.787795,4,4.7
"Nürnberg","Deutschland :de:",8,12.06,9.57619722222222,4,1.7
"Münster","Deutschland :de:",7.14,11.46,7.95306555555556,3,2.18
"Stuttgart","Deutschland :de:",8.32,12.42,10.3048322222222,4,1.2
"Norderney","Deutschland :de:",7.24,7.42,8.34089055555556,3,1.03
"Erfurt","Deutschland :de:",7.88,11.36,9.46255833333333,4,1.7
"Bremen","Deutschland :de:",7.44,12.1,8.35037277777778,4,3.4
"Timmendorfer Strand","Deutschland :de:",7.08,9.92,6.98856944444444,3,3.7
"Karlsbad","Tschechien :cz:",8.28,10,9.70559444444445,4,0.2
"Enschede","Niederlande :nl:",7.76,11.92,8.41712277777778,3,2.6
"Pilsen","Tschechien :cz:",8.24,10.22,9.09663777777778,4,0.6
"Maastricht","Niederlande :nl:",7.42,12.66,8.32587388888889,4,0.77
"Giethoorn","Niederlande :nl:",7.72,11.88,8.16430777777778,3,2
"Groningen","Niederlande :nl:",7.5,11.64,8.204815,3,3.31
"Eindhoven","Niederlande :nl:",8,12.74,8.56821777777778,4,2.73
"Prag","Tschechien :cz:",8.16,11.04,8.03893444444445,3,0.4
"Luxemburg","Luxemburg :lu:",7.54,10.98,8.25378611111111,3,1.18
"Straßburg","Frankreich :fr:",8.36,13.38,10.1053894444444,4,1.7
"Amsterdam","Niederlande :nl:",8.2,12.26,8.49882166666667,3,0.38
"Dinant","Belgien :be:",7.82,13.5,8.20175277777778,4,0.48
"Rotterdam","Niederlande :nl:",8.16,12.6,8.42287388888889,3,0.95
"Antwerpen","Belgien :be:",8.08,13.16,8.57240611111111,3,0.83
"Zandvoort","Niederlande :nl:",7.88,9.98,9.01343944444444,3,0.38
"Český Krumlov","Tschechien :cz:",7.84,8.62,7.22362666666667,3,0.6
"Terschelling","Niederlande :nl:",8,8.24,9.45440388888889,3,0.75
"Noordwijk","Niederlande :nl:",7.88,12.24,8.95437722222222,3,1.05
"Bergen aan Zee","Niederlande :nl:",7.84,11.68,8.83494833333333,3,1.48
"Nancy","Frankreich :fr:",8.28,12.3,9.61897444444444,4,2
"Brüssel","Belgien :be:",8.36,12.9,8.72917,4,0.2
"Texel","Niederlande :nl:",7.92,10.22,9.08105,3,1.9
"Scheveningen","Niederlande :nl:",8.12,12.32,8.93221111111111,3,0.7
"Fåborg","Dänemark :dk:",7.36,9.12,8.11723388888889,4,1.88
"Salzburg","Österreich :at:",7.38,10.06,8.94186222222222,3,1.6
"Renesse","Niederlande :nl:",8.08,12.5,9.07028222222222,3,2.35
"Linz","Österreich :at:",7.88,11.48,8.06721,3,1.5
"Zürich","Schweiz :ch:",8.04,11.14,8.80188166666667,4,2
"Basel","Schweiz :ch:",8.52,12.38,9.82644833333333,4,0.8
"Innsbruck","Österreich :at:",7.96,9.42,10.1826811111111,4,1.6
"Domburg","Niederlande :nl:",8.12,12.6,8.83427944444444,3,1.73
"Breslau","Polen :pl:",7.24,11.56,4.81560277777778,2,3.4
"Køge","Dänemark :dk:",7.64,9.84,7.77864944444444,4,2.1
"Posen","Polen :pl:",7.96,12.14,6.54884166666667,3,1.5
"Zell am See","Österreich :at:",6.92,6.98,8.49496166666667,3,6.3
"Brügge","Belgien :be:",8.36,13.7,8.91987222222222,3,0.41
"Hallstatt","Österreich :at:",6.28,8.88,8.243745,3,5.1
"Luzern","Schweiz :ch:",7.58,10.26,8.405395,4,2.1
"De Haan","Belgien :be:",8.32,12.76,9.26207944444445,3,0.58
"Ostende","Belgien :be:",8.32,13.08,9.36787333333333,3,0.95
"Kopenhagen","Dänemark :dk:",7.56,6.22,8.20228166666667,4,1.8
"Malmö","Schweden :se:",7.96,6.96,8.65655777777778,4,1.7
"Brünn","Tschechien :cz:",7.28,11.2,4.59189777777778,2,2
