"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"27.02.2026",9.2,18.3,8.72403611111111,0,0
"28.02.2026",8.8,16.5,9.05145,0,0
"01.03.2026",8.6,11.4,9.19822777777778,0,0
"02.03.2026",8.6,13.8,9.80734722222222,0,0
"03.03.2026",8.6,15.4,9.87625555555555,0,0
"04.03.2026",8.4,16.4,9.75783333333333,0,0
"05.03.2026",7,8.9,1.57580555555556,0.4,0
"06.03.2026",8.6,13,9.98091388888889,0,0
"07.03.2026",8.8,13.2,10.1605777777778,0,0
"08.03.2026",8.4,12.7,10.2729833333333,0,0
"09.03.2026",8.4,10.8,10.401875,0,0
