"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"12.11.2025",9,16.8,8.31318888888889,0,0
"13.11.2025",9,16.9,8.23040833333333,0,0
"14.11.2025",9,16.2,8.01226111111111,0,0
"15.11.2025",6.8,17.6,0.0199111111111111,1.2,0
"16.11.2025",9.2,21.1,8.54090833333333,0,0
"17.11.2025",5.4,17.8,0,6.9,0
"18.11.2025",6,13.8,0,0.3,0
"19.11.2025",7.6,13.1,8.41584444444445,0,0
"20.11.2025",7,9.6,3.23245277777778,0.2,0
"21.11.2025",8,9.8,8.34064166666667,0,0
"22.11.2025",6.4,8.1,1.58878333333333,0.5,0
