"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"27.04.2026",7,8.4,0.950938888888889,0,0
"28.04.2026",9,12.4,13.8846722222222,0,0
"29.04.2026",9,12.1,13.8576361111111,0,0
"30.04.2026",9.2,14.3,14.8227277777778,0,0
"01.05.2026",9.6,19.3,14.8777277777778,0,0
"02.05.2026",9.4,24.9,14.9117861111111,0.1,0
"03.05.2026",7.8,18.6,8.75241666666667,2.3,0
"04.05.2026",5.6,12.3,0,1.2,0
"05.05.2026",7.6,12.2,15,1.3,0
"06.05.2026",7,8.6,15,3,0
"07.05.2026",7.4,8.6,14.6660222222222,1.6,0
