"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",5.1,1.5125,1.80244756944444,0,15.36
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",5.65,-0.175,5.05310416666667,5,9.1
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",4.7,2.4125,1.54037326388889,1,17.9
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",5.75,1.575,3.23396388888889,0,12.8
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",5.85,1.45,4.3046125,4,4.7
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",6.325,1.725,3.49130798611111,3,5.3
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",6.375,1.6,4.40901736111111,5,2.9
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",6.3,0.8375,4.64470104166667,6,7.6
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",4.875,-1,4.82686909722222,4,12.1
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",5.125,-0.2375,4.88578923611111,4,15.8
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",5.375,1.575,2.05068645833333,2,11.24
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",5.325,1.175,1.51778263888889,3,7.69
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",5.225,3.3875,3.809225,2,22.1
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",3.9125,1.1125,4.16894479166667,1,10.63
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",5.725,1.6,0.552858680555556,2,11.3
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",4.725,-1.1625,5.07189270833333,4,15.7
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",5.425,-0.1125,3.39417048611111,3,5.14
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",4.95,0.4,3.210071875,4,10.65
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",6.45,1.4,5.21897986111111,5,6.8
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",4.025,4.025,3.32234166666667,1,31.47
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",6.6,1.5625,4.23465347222222,5,2.3
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",5.575,2.75,1.60025555555556,1,17.22
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",5.5625,2.05,2.70487638888889,3,15.48
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",4.8875,-0.95,3.83454826388889,2,6.03
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",4.675,0.2875,3.21453576388889,4,9.6
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",6.15,-0.4625,4.23178159722222,7,1.2
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",5.35,1.3375,3.28145,1,13.25
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",4.1875,1.3375,2.83790729166667,1,28.97
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",4.2,1.45,2.40919027777778,2,27.13
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",5.6,1.6875,3.75709409722222,1,7.03
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",6.925,0.7375,5.41398368055556,7,2.3
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",5.0125,-0.3375,0.840019444444444,1,11.3
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",6.25,1.0625,4.203371875,5,6.1
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",4.15,2.3625,3.46688506944444,0,18.75
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",5.825,1.875,2.00345486111111,2,12.7
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",4.3,2.5875,3.89581284722222,0,16.53
"Antwerpen","Belgien",51.2211097,4.3997081,"Antwerpen, Belgien",5.3,2.025,3.04001215277778,1,28.73
"Zandvoort","Niederlande",52.3719838,4.5302209,"Zandvoort, Niederlande",3.125,4.4625,3.26938368055556,0,24.12
"Český Krumlov","Tschechien",48.8106526,14.3150586,"Český Krumlov, Tschechien",5.175,-1.1625,5.58709270833333,5,2.2
"Terschelling","Niederlande",53.3643463061866,5.21443497127834,"Terschelling, Niederlande",4.1375,5.025,3.23052847222222,0,23.02
"Noordwijk","Niederlande",52.2410856,4.4461969,"Noordwijk, Niederlande",3.175,3.5375,3.27007361111111,0,21.88
"Bergen aan Zee","Niederlande",52.6607662,4.6316645,"Bergen aan Zee, Niederlande",3.1125,3.45,3.13530555555556,0,22.91
"Nancy","Frankreich",48.6896465492961,6.18236505173213,"Nancy, Frankreich",6.0625,1.375,3.53360625,5,6.4
"Brüssel","Belgien",50.8465573,4.351697,"Brüssel, Belgien",6.025,2.125,3.22091840277778,1,13.18
"Texel","Niederlande",53.0543143461686,4.79876535287512,"Texel, Niederlande",3.3375,4.3125,3.57808611111111,0,29.27
"Scheveningen","Niederlande",52.1067449,4.2736937,"Scheveningen, Niederlande",3.9,4.1375,3.68290694444444,0,20.83
"Fåborg","Dänemark",55.097087,10.2428246,"Fåborg, Dänemark",5.475,1.3,3.61672951388889,4,10
"Salzburg","Österreich",47.7981346,13.0464806,"Salzburg, Österreich",5.25,0.0375,4.8404375,4,9.8
"Renesse","Niederlande",51.7311823,3.7719799,"Renesse, Niederlande",5.025,4.5125,3.67925173611111,0,30.05
"Linz","Österreich",48.3059078,14.286198,"Linz, Österreich",5.55,0.15,4.46505104166667,4,7.3
