"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",5.25,0.775,3.92085972222222,1,5.05
"Berlin","Berlin","Berlin","(BE)",5.25,1.175,4.286925,1,4.5
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",4.775,-1,3.38542430555556,1,6.6
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",6.25,1.325,5.18143263888889,2,1.63
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",5.45,0.075,3.97084930555556,1,3.35
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",6.1,1.825,3.82911458333333,1,6.15
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",4.7,-0.825,3.51991805555556,1,6.6
"Dresden","Sachsen","Dresden, Sachsen","(SN)",5.1,2.15,6.00472569444444,2,7.58
"München","Bayern","München, Bayern","(BY)",3.2,3.475,3.61125833333333,0,16.55
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",3.9,5.225,4.27475069444444,0,16.65
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",4.95,-1.625,2.19588819444444,2,4.7
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",5.775,1.425,4.33995486111111,2,1.8
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",4.975,2.85,5.54852152777778,2,8.95
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",6.15,5.1,5.10389861111111,0,4.7
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",5.275,-0.2,4.06575555555556,1,5.12
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",6.35,1.1,5.1974625,2,1.48
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",5.9,2.325,3.35849930555556,1,6.15
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg","(BW)",3.25,5.2,1.97109166666667,0,12.9
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern","(MV)",4.85,-0.45,3.94526111111111,1,4.22
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern","(BY)",3.75,3.15,3.14483263888889,1,23.63
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein","(SH)",5.475,0.2,3.90055833333333,1,4.03
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern","(MV)",4.95,-0.7,2.99717847222222,1,5.7
"Berchtesgaden","Bayern","Berchtesgaden, Bayern","(BY)",3.375,2.025,4.91574375,0,20.68
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern","(MV)",5.55,-1.2,3.43344583333333,1,3.7
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen","(NW)",4.2,5.3,4.93237083333333,0,18.25
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern","(MV)",4.825,-1.15,3.56088333333333,1,6.5
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen","(NI)",5.15,1.1,3.47805416666667,1,4.15
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein","(SH)",5.45,0.05,3.97021111111111,1,3.35
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein","(SH)",5.35,0.125,3.8225375,1,3.55
