"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",7.18,6.46,3.38441777777778,7,2.3
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",6.68,4.12,2.02787361111111,7,4.9
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",6.88,6.84,1.48429944444444,6,4.7
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",6.46,8.3,2.22652166666667,2,11.93
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",7.08,6.94,3.74935194444444,5,5.8
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",7.14,6.31,3.21274611111111,7,2.7
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",6.8,6.28,2.39285083333333,7,6.2
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",6.64,7.4,3.93208555555556,8,12.7
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",6.94,3.69,3.45365722222222,6,3.6
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",7.32,5.64,4.84159083333333,6,2.7
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",6.72,5.45,1.506245,7,3.4
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",6.72,5.26,1.42654083333333,6,3.2
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",6.3,7.35,1.11842277777778,4,5.88
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",7.24,6.74,4.15350694444444,8,0.6
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",6.56,8.32,2.4068575,4,10.4
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",6.9,4.58,3.78361666666667,7,3.7
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",6.4,5.42,1.67656694444444,7,5.2
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",7,8.26,3.13860722222222,3,6.13
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",6.62,6.21,2.79097472222222,8,6
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",6.4,7.01,0.741971111111111,2,8.25
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",7.3,6.16,3.42396722222222,9,1.3
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",6.82,7.13,1.77232722222222,6,5.4
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",6.64,6.62,0.952828055555556,5,5.9
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",6.24,4.33,0.601205277777778,7,6.2
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",6.84,8.15,2.21275388888889,3,7.68
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",6.48,4.78,0.529112777777778,7,5.1
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",6.92,9.09,3.02291583333333,2,8
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",6.24,8.05,1.05411222222222,3,11.68
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",6.24,7.92,0.387445555555556,3,11.8
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",6.68,8.86,2.44123388888889,1,9.58
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",6.84,6.33,1.16714194444444,8,3.1
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",6.08,6.63,0.9512875,2,11.3
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",6.51,6.59,2.37080083333333,7,7.3
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",6.14,8.34,0.817803333333333,1,14.25
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",6.44,8.22,1.24001861111111,3,11.9
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",5.94,8.72,0.596515555555556,1,15.3
"Antwerpen","Belgien",51.2211097,4.3997081,"Antwerpen, Belgien",6.42,8.86,1.36007472222222,2,12.8
"Zandvoort","Niederlande",52.3719838,4.5302209,"Zandvoort, Niederlande",6.06,8.85,1.24353722222222,1,14.8
"Český Krumlov","Tschechien",48.8106526,14.3150586,"Český Krumlov, Tschechien",6.92,4.4,1.97483361111111,8,2.8
"Terschelling","Niederlande",53.3643463061866,5.21443497127834,"Terschelling, Niederlande",5.95,8.89,1.5279725,2,15.85
"Noordwijk","Niederlande",52.2410856,4.4461969,"Noordwijk, Niederlande",6.06,8.84,1.22315583333333,1,14.2
"Bergen aan Zee","Niederlande",52.6607662,4.6316645,"Bergen aan Zee, Niederlande",5.68,8.67,1.06289638888889,2,17.1
"Nancy","Frankreich",48.6896465492961,6.18236505173213,"Nancy, Frankreich",6.64,7.08,2.21376333333333,7,2.9
"Brüssel","Belgien",50.8465573,4.351697,"Brüssel, Belgien",6.44,8.97,1.47053361111111,2,11.8
"Texel","Niederlande",53.0543143461686,4.79876535287512,"Texel, Niederlande",5.82,8.85,1.55989472222222,2,13.93
"Scheveningen","Niederlande",52.1067449,4.2736937,"Scheveningen, Niederlande",5.89,8.89,1.15543388888889,2,16.7
"Fåborg","Dänemark",55.097087,10.2428246,"Fåborg, Dänemark",6.68,6.12,1.97041027777778,3,3.5
"Salzburg","Österreich",47.7981346,13.0464806,"Salzburg, Österreich",6.62,3.96,1.48204194444444,6,4.5
"Renesse","Niederlande",51.7311823,3.7719799,"Renesse, Niederlande",5.96,8.87,1.21669055555556,2,24.3
"Linz","Österreich",48.3059078,14.286198,"Linz, Österreich",6.76,4.98,1.34023,7,2.6
"Zürich","Schweiz",47.3744489,8.5410422,"Zürich, Schweiz",6.56,4.76,1.74737361111111,8,4.7
"Basel","Schweiz",47.5589680548118,7.58875075727046,"Basel, Schweiz",6.65,6.53,3.86902444444444,8,6.4
"Innsbruck","Österreich",47.2654296,11.3927685,"Innsbruck, Österreich",7.64,6.75,5.77594111111111,7,1.5
"Domburg","Niederlande",51.5632141,3.4967277,"Domburg, Niederlande",6.12,8.89,1.61600055555556,2,16.6
"Breslau","Polen",51.1082644352883,17.0337679840311,"Breslau, Polen",6.52,4.62,1.47487888888889,5,8.7
"Køge","Dänemark",55.4565009,12.1818964,"Køge, Dänemark",6.43,5.95,1.19992805555556,6,5.9
"Posen","Polen",52.4082663,16.9335199,"Posen, Polen",6.52,4.53,0.851253333333333,5,6.6
"Zell am See","Österreich",47.3239636,12.7963165,"Zell am See, Österreich",7.28,4.15,5.3220125,8,1.3
"Brügge","Belgien",51.2085526,3.226772,"Brügge, Belgien",6.18,8.92,1.91717722222222,2,14.9
"Hallstatt","Österreich",47.5621698,13.6486697,"Hallstatt, Österreich",7.1,6.58,4.15124416666667,5,3.8
"Luzern","Schweiz",47.0505452,8.3054682,"Luzern, Schweiz",6.6,4.86,2.07958694444444,8,5.8
"De Haan","Belgien",51.2671194,3.0408427,"De Haan, Belgien",6.14,9.03,1.90813861111111,2,19.8
"Ostende","Belgien",51.2258565,2.919496,"Ostende, Belgien",6.16,9.11,1.87018916666667,2,14.4
"Kopenhagen","Dänemark",55.6867243,12.5700724,"Kopenhagen, Dänemark",6.35,6.14,1.06249305555556,6,7.4
"Malmö","Schweden",55.6052931,13.0001566,"Malmö, Schweden",6.46,6.27,0.675017222222222,7,6.9
"Brünn","Tschechien",49.1944262292563,16.6077238664507,"Brünn, Tschechien",6.58,5.86,1.42499861111111,5,10.7
"Meran","Italien",46.6695547,11.1594185,"Meran, Italien",7.78,8.6,6.19001888888889,9,0.3
"Bern","Schweiz",46.9484742,7.4521749,"Bern, Schweiz",6.84,5.51,3.82647194444444,8,8.6
"Bornholm","Dänemark",55.1431224,14.9226297,"Bornholm, Dänemark",6.74,5.13,1.16514638888889,7,1.1
"Aarhus","Dänemark",56.1496278,10.2134046,"Aarhus, Dänemark",6.3,6.61,0.882020277777778,4,6.15
"St. Moritz","Schweiz",46.4978958,9.8392428,"St. Moritz, Schweiz",7.08,0.66,7.17663222222222,10,0
"Hvide Sande","Dänemark",56.0057884,8.1288435,"Hvide Sande, Dänemark",5.8,7.38,1.24582166666667,3,13.38
