"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",8.7,13.05,9.84180347222222,4,0
"München","Deutschland :de:",8.1,11.05,9.93197222222222,3,1.2
"Hamburg","Deutschland :de:",8.6,11.825,9.13740833333333,4,0
"Köln","Deutschland :de:",8.65,14.35,9.87205,4,0
"Dresden","Deutschland :de:",8.4,13.125,8.39659583333333,3,0.1
"Leipzig","Deutschland :de:",8.65,12.975,8.97125486111111,4,0
"Frankfurt am Main","Deutschland :de:",9,14.775,10.5236645833333,4,0
"Freiburg im Breisgau","Deutschland :de:",8.9,15.175,10.8179423611111,4,0
"Berchtesgaden","Deutschland :de:",7.35,9.25,8.32981527777778,3,6.9
"Garmisch-Partenkirchen","Deutschland :de:",7.75,10,10.2131361111111,3,0.8
"Binz (Rügen)","Deutschland :de:",8.2,8.025,7.91404930555556,4,0
"Heringsdorf (Usedom)","Deutschland :de:",8.4,9,8.78565833333333,4,0
"Westerland (Sylt)","Deutschland :de:",8.1,4.7,7.30538402777778,4,0
"Wernigerode (Harz)","Deutschland :de:",8.7,12,10.44628125,4,0
"Cochem (Mosel)","Deutschland :de:",8.55,14.6,9.49550486111111,4,0
"Kempten (Allgäu)","Deutschland :de:",8.5,10.6,10.4217277777778,4,0
"Nürnberg","Deutschland :de:",8.7,13.25,10.1726840277778,4,0
"Münster","Deutschland :de:",8.6,13.125,8.62622569444444,4,0
"Stuttgart","Deutschland :de:",8.75,14.025,10.7293375,4,0
"Norderney","Deutschland :de:",8.4,5.875,9.68480208333333,4,0
"Erfurt","Deutschland :de:",8.65,12.475,9.14951666666667,4,0
"Bremen","Deutschland :de:",8.7,12.65,9.76188888888889,4,0
"Timmendorfer Strand","Deutschland :de:",8,8.375,7.05622708333333,3,0.6
"Karlsbad","Tschechien :cz:",8.4,11.325,9.57043958333333,2,0.4
"Enschede","Niederlande :nl:",8.65,13.075,9.52475347222222,4,0
"Pilsen","Tschechien :cz:",8.35,12.275,9.38431458333333,3,0.1
"Maastricht","Niederlande :nl:",8.65,14.175,10.0149486111111,4,0
"Giethoorn","Niederlande :nl:",8.5,12.45,9.44670833333333,4,0
"Groningen","Niederlande :nl:",8.55,11.925,9.54627222222222,4,0
"Eindhoven","Niederlande :nl:",8.6,14.1,8.66502777777778,4,0
"Prag","Tschechien :cz:",8.35,13.025,9.58423472222222,3,0.1
"Luxemburg","Luxemburg :lu:",8.6,13.7,9.47559444444444,4,0
"Straßburg","Frankreich :fr:",8.9,15.675,10.6893201388889,4,0
"Amsterdam","Niederlande :nl:",8.65,12.75,9.76723194444444,4,0
"Dinant","Belgien :be:",8.6,14.475,9.38102291666667,4,0
"Rotterdam","Niederlande :nl:",8.4,13.05,8.27352361111111,3,0.6
"Antwerpen","Belgien :be:",8.75,14.025,10.0786340277778,4,0
"Zandvoort","Niederlande :nl:",8.5,9.975,9.89084236111111,4,0
"Český Krumlov","Tschechien :cz:",7.85,10.225,8.34007916666667,2,3.98
"Terschelling","Niederlande :nl:",8.35,8.175,9.50709027777778,4,0
"Noordwijk","Niederlande :nl:",8.55,11.825,9.66049444444444,4,0
"Bergen aan Zee","Niederlande :nl:",8.45,11.55,9.40604861111111,4,0
"Nancy","Frankreich :fr:",8.9,14.925,10.838675,4,0
"Brüssel","Belgien :be:",8.75,14.275,9.94910694444444,4,0
"Texel","Niederlande :nl:",8.45,9.75,9.69501736111111,4,0
"Scheveningen","Niederlande :nl:",8.55,11.925,9.49901180555556,4,0
"Fåborg","Dänemark :dk:",8.15,8.075,6.67255625,4,0
"Salzburg","Österreich :at:",7.45,11.25,8.47569166666667,3,7.1
"Renesse","Niederlande :nl:",8.45,11.6,9.13177708333333,4,0
"Linz","Österreich :at:",7.8,11.8,7.60032638888889,3,3
"Zürich","Schweiz :ch:",8.8,13.55,10.7320659722222,4,0
"Basel","Schweiz :ch:",8.75,15.125,10.86410625,4,0
"Innsbruck","Österreich :at:",8.05,10.675,9.93620694444444,3,2
"Domburg","Niederlande :nl:",8.45,11.775,9.27545763888889,4,0
"Breslau","Polen :pl:",8.3,11.775,8.48575902777778,3,0.4
"Køge","Dänemark :dk:",8.4,9.575,8.02190277777778,4,0
"Posen","Polen :pl:",8.35,11.5,8.28564722222222,4,0
"Zell am See","Österreich :at:",6.725,8.175,8.61214861111111,3,3.5
"Brügge","Belgien :be:",8.8,13.575,10.0518527777778,4,0
"Hallstatt","Österreich :at:",6.85,9.125,8.06422777777778,3,7.5
"Luzern","Schweiz :ch:",8.65,13.125,10.5156319444444,4,0
"De Haan","Belgien :be:",8.55,11.3,10.0632756944444,4,0
"Ostende","Belgien :be:",8.55,11.55,10.0372854166667,4,0
"Kopenhagen","Dänemark :dk:",8.25,7.5,7.95762222222222,4,0
"Malmö","Schweden :se:",8.25,7.025,7.65930208333333,4,0
"Brünn","Tschechien :cz:",8.6,13.1,10.3510861111111,3,0.55
"Meran","Italien :it:",8.1,14.375,10.5500097222222,2,0.7
"Bern","Schweiz :ch:",8.7,13.275,10.8008840277778,4,0
"Bornholm","Dänemark :dk:",8.4,8.7,8.73960555555556,4,0
"Aarhus","Dänemark :dk:",8.45,9.425,8.87827291666667,4,0
"St. Moritz","Schweiz :ch:",7.75,2.025,10.7139881944444,2,1.2
"Hvide Sande","Dänemark :dk:",8.1,6.525,7.72518611111111,4,0
"Interlaken","Schweiz :ch:",8.65,11.7,10.9359395833333,4,0
"Bozen","Italien :it:",8.45,14.975,10.3660090277778,2,0.7
"Wien","Österreich :at:",8.4,12.775,9.45236875,3,0.4
"Dijon","Frankreich :fr:",9,15.375,10.9531541666667,4,0
"Ostrava","Tschechien :cz:",8.5,12.275,10.1150902777778,3,0.22
"Klagenfurt am Wörthersee","Österreich :at:",8.1,11.775,9.10765763888889,2,3
"Riva del Garda","Italien :it:",8.35,14.275,10.5633638888889,2,2.7
"Graz","Österreich :at:",7.225,11.475,8.00149027777778,2,4.4
"Le Touquet-Paris-Plage","Frankreich :fr:",8.85,13.575,10.7247590277778,4,0
"Bratislava","Slowakei :sk:",8.1,12.85,8.34190347222222,3,2.7
"Zermatt","Schweiz :ch:",7.55,2.575,10.5714201388889,3,2.9
"Bled","Slowenien :si:",6.725,11.25,9.08073125,2,10.8
"Paris","Frankreich :fr:",9.15,17.15,10.9456701388889,4,0
"Norwich","England :gb-eng:",8.2,11.8,8.43692430555556,2,0.7
"Ipswich","England :gb-eng:",8.3,12.075,7.94860138888889,3,0.3
"Katowice","Polen :pl:",7.75,10.925,5.75801875,3,1.6
"Torri del Benaco","Italien :it:",8.75,15.15,10.597175,2,0.3
"Genf","Schweiz :ch:",8.65,14,10.8369423611111,4,0
"Sirmione","Italien :it:",8.85,15.65,10.7069347222222,3,0.2
"Mailand","Italien :it:",8.55,15.65,10.1895631944444,3,2.4
"Danzig","Polen :pl:",8.35,9.375,8.10148611111111,4,0
"Maribor","Slowenien :si:",7.075,11.9,8.07262638888889,2,3
"Ljubljana","Slowenien :si:",8.4,12.825,8.61032152777778,3,0.7
"Annecy","Frankreich :fr:",8.75,14.05,10.9620472222222,4,0
"Venedig","Italien :it:",8.8,14.9,10.6620576388889,4,0
"Triest","Italien :it:",8.8,15.35,10.0495895833333,3,0.6
"Cambridge","England :gb-eng:",8.3,12.825,8.35296319444444,4,0
"Krakau","Polen :pl:",7.8,10.85,6.17655069444444,2,0.87
"Skagen","Dänemark :dk:",8.35,8.1,8.86010347222222,3,0.4
"London","England :gb-eng:",8.2,13.5,6.65522986111111,4,0
"Göteborg","Schweden :se:",8.2,6.975,8.438325,3,0.2
"Brighton","England :gb-eng:",8.65,13.225,9.94394305555556,4,0
"Zakopane","Polen :pl:",7.45,6.825,6.44070138888889,2,2.55
"Lyon","Frankreich :fr:",9.05,16.325,10.9784972222222,4,0
"Bourges","Frankreich :fr:",9.1,16.4,11.2099354166667,4,0
"Rovinj","Kroatien :hr:",8.7,15.075,9.69533263888889,3,0.2
"Balaton","Ungarn :hu:",8.25,12.675,8.15550138888889,3,0.6
"Zagreb","Kroatien :hr:",8.2,13.025,8.25824375,3,1
"Deauville","Frankreich :fr:",9,14.875,10.8072423611111,4,0
"Warschau","Polen :pl:",7.95,11.1,6.85098402777778,3,0.9
"Hohe Tatra (Tatranská Lomnica)","Slowakei :sk:",7.45,4.575,5.49785555555556,2,1.23
"Pula","Kroatien :hr:",8.95,15.325,10.7974652777778,4,0
"Budapest","Ungarn :hu:",8.5,13.625,7.48719305555556,4,0
"Kristiansand","Norwegen :no:",8,9.525,7.96962986111111,2,1.2
"Oxford","England :gb-eng:",8.45,12.95,8.68925902777778,4,0
