"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"07.11.2025",8.4,11.9,6.50698333333333,0,0
"08.11.2025",7.6,10,2.44096944444444,0,0
"09.11.2025",7.2,10.4,1.535625,0.1,0
"10.11.2025",8,8.9,7.17472222222222,0,0
"11.11.2025",7.4,9.7,1.47088055555556,0,0
"12.11.2025",8.2,11.5,7.99473333333333,0,0
"13.11.2025",8.4,13,7.89290555555556,0,0
"14.11.2025",8.6,16.3,7.72812777777778,0,0
"15.11.2025",7.6,15.5,7.7813,0.1,0
"16.11.2025",7.8,12.4,7.72673055555556,0,0
"17.11.2025",5.4,7.3,0,2.4,0
