"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"18.01.2026",5.4,-5.7,5.40772777777778,0,0
"19.01.2026",5.4,-5.8,5.724075,0,0
"20.01.2026",5.4,-9.6,4.84505,0,0
"21.01.2026",4.4,-5.9,0.557372222222222,0.2,0
"22.01.2026",5.8,-3.8,1.62663333333333,0.3,0
"23.01.2026",5.6,-10.9,6.39401111111111,0,0
"24.01.2026",5.6,-10.9,6.37785277777778,0,0
"25.01.2026",5.2,-17,6.71320833333333,0.1,0
"26.01.2026",4.4,-11.8,0.569925,0,0
"27.01.2026",5.2,-15.6,6.79033888888889,0,0
"28.01.2026",5.4,-14.6,6.84223611111111,0,0
