"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"03.03.2026",8.8,14.8,9.74826111111111,0,0
"04.03.2026",8.8,14.8,9.85927777777778,0,0
"05.03.2026",8.6,14.1,9.55766666666667,0,0
"06.03.2026",8.8,15.4,10.4326111111111,0,0
"07.03.2026",8.8,15.4,10.4974805555556,0,0
"08.03.2026",9,16.6,10.5709083333333,0,0
"09.03.2026",9,16.3,10.5825805555556,0,0
"10.03.2026",8.6,17,10.6768694444444,0,0
"11.03.2026",8.6,16.8,10.7104472222222,0,0
"12.03.2026",8.4,16.5,10.78655,0,0
"13.03.2026",8.4,15,10.7778694444444,0,0
