"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"06.03.2026",4.2,12.1,0,3.13,3
"07.03.2026",8.2,17.1,6.90401944444444,0.4,0
"08.03.2026",8.6,15.1,9.86273611111111,0,0
"09.03.2026",7.8,14,7.23223611111111,0.2,0
"10.03.2026",8.4,12.6,8.30391111111111,0,0
"11.03.2026",7.2,12.6,4.62313055555556,0.7,0
"12.03.2026",8.4,12.9,10.6870611111111,0,0
"13.03.2026",6.4,10.8,10.7686222222222,0.4,3
"14.03.2026",6.8,12.4,2.95746111111111,0.3,0
"15.03.2026",8.4,13.3,10.8855166666667,0,0
"16.03.2026",7.6,14.4,10.8805472222222,1.2,0
