"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"01.04.2026",9,11.9,12.2105972222222,0,0
"02.04.2026",7.4,10.1,4.60465,0.1,0
"03.04.2026",8.2,8.6,11.5587833333333,0.1,0
"04.04.2026",8.2,11,10.8518222222222,0.2,0
"05.04.2026",7.2,13.5,6.01359722222222,1.4,0
"06.04.2026",8.8,12.8,12.9273,0,0
"07.04.2026",9.2,18,13.0176361111111,0,0
"08.04.2026",7,16,13.0275861111111,0,5
"09.04.2026",5.7,16.5,6.27498611111111,0,7
"10.04.2026",6.4,14.1,7.71209166666667,0.6,2
"11.04.2026",7.4,10.5,10.7114,0.7,0
