"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",7.85,6.05,4.70740208333333,4,0
"München","Deutschland :de:",7.1,3.6,1.26792916666667,4,0
"Hamburg","Deutschland :de:",7.85,8.125,4.69884652777778,4,0
"Köln","Deutschland :de:",7.8,9.125,3.893375,4,0
"Dresden","Deutschland :de:",7.7,5.925,3.74724652777778,4,0
"Leipzig","Deutschland :de:",7.95,7.2,4.77184861111111,4,0
"Frankfurt am Main","Deutschland :de:",7.7,6.725,3.82367569444444,4,0
"Freiburg im Breisgau","Deutschland :de:",7.95,7.725,4.9876375,4,0
"Berchtesgaden","Deutschland :de:",7.7,7.025,4.82130972222222,3,0.3
"Garmisch-Partenkirchen","Deutschland :de:",7.9,10.725,5.39857638888889,4,0
"Binz (Rügen)","Deutschland :de:",7.45,6.025,2.62895763888889,4,0
"Heringsdorf (Usedom)","Deutschland :de:",7.75,5.775,4.00180694444444,4,0
"Westerland (Sylt)","Deutschland :de:",7.4,7.75,2.56615277777778,3,0.3
"Wernigerode (Harz)","Deutschland :de:",8.35,10.5,6.17501944444444,4,0
"Cochem (Mosel)","Deutschland :de:",8,8.875,4.83627361111111,4,0
"Kempten (Allgäu)","Deutschland :de:",7.85,6.55,4.63033611111111,4,0
"Nürnberg","Deutschland :de:",7.65,5.45,4.13112847222222,4,0
"Münster","Deutschland :de:",7.75,9.35,3.25200416666667,4,0
"Stuttgart","Deutschland :de:",8.15,8.1,6.38457152777778,4,0
"Norderney","Deutschland :de:",7.45,7.725,2.54438194444444,4,0
"Erfurt","Deutschland :de:",7.8,6.5,4.65426319444444,4,0
"Bremen","Deutschland :de:",7.8,8.525,4.40848819444444,4,0
"Timmendorfer Strand","Deutschland :de:",7.65,7.15,3.50363888888889,4,0
"Karlsbad","Tschechien :cz:",7.35,3.425,3.10862638888889,4,0
"Enschede","Niederlande :nl:",7.65,8.95,3.20802569444444,4,0
"Pilsen","Tschechien :cz:",7.05,3.075,1.30214097222222,4,0
"Maastricht","Niederlande :nl:",7.6,10.65,2.80318125,3,0.5
"Giethoorn","Niederlande :nl:",7.55,9.175,3.02106527777778,3,0.3
"Groningen","Niederlande :nl:",7.5,8.75,2.83002152777778,4,0
"Eindhoven","Niederlande :nl:",7.65,10.125,2.68090555555556,3,0.1
"Prag","Tschechien :cz:",6.9,3.675,0.426875,4,0
"Luxemburg","Luxemburg :lu:",7.55,7.675,3.68324305555556,4,0
"Straßburg","Frankreich :fr:",7.65,7.175,3.99394652777778,3,0.1
"Amsterdam","Niederlande :nl:",7.5,9.625,3.38459305555556,2,3.9
"Dinant","Belgien :be:",7.75,10.125,4.00052916666667,3,1.1
"Rotterdam","Niederlande :nl:",7.65,9.85,3.34642083333333,3,0.2
"Antwerpen","Belgien :be:",7.45,10.375,2.51416527777778,3,1.4
"Zandvoort","Niederlande :nl:",7.4,9.4,2.55830416666667,2,0.4
"Český Krumlov","Tschechien :cz:",6.85,2.575,1.34872986111111,4,0
"Terschelling","Niederlande :nl:",7.65,9.15,3.33873333333333,3,0.13
"Noordwijk","Niederlande :nl:",7.5,9.725,3.11966388888889,2,0.5
"Bergen aan Zee","Niederlande :nl:",7.6,9.4,3.26804236111111,3,0.3
"Nancy","Frankreich :fr:",7.7,8.9,3.62080555555556,4,0
"Brüssel","Belgien :be:",7.45,10.65,2.32935138888889,3,0.5
"Texel","Niederlande :nl:",7.55,9.5,3.28031944444444,3,0.03
"Scheveningen","Niederlande :nl:",7.6,9.8,3.00640277777778,3,0.5
"Fåborg","Dänemark :dk:",7.2,7.175,1.55214583333333,4,0
"Salzburg","Österreich :at:",7.25,4.425,2.14195347222222,4,0
"Renesse","Niederlande :nl:",7.55,9.7,2.56520208333333,3,0.1
"Linz","Österreich :at:",6.95,2.95,0.75,4,0
"Zürich","Schweiz :ch:",7.4,5.6,2.62229166666667,4,0
"Basel","Schweiz :ch:",8.2,8.275,6.26609305555556,4,0
"Innsbruck","Österreich :at:",7.9,9.15,5.40963472222222,3,0.3
"Domburg","Niederlande :nl:",7.5,9.6,2.23373125,3,0.08
"Breslau","Polen :pl:",7.45,4.25,2.39913541666667,4,0
"Køge","Dänemark :dk:",7.4,7.125,2.53982430555556,4,0
