"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"09.11.2025",4.6,10.4,0,3,3
"10.11.2025",7,8.3,0.172177777777778,0,0
"11.11.2025",8,12.2,5.71698611111111,0,0
"12.11.2025",8.2,9.9,5.61741666666667,0,0
"13.11.2025",8.4,12,7.46836666666667,0,0
"14.11.2025",8.2,12.5,7.31936666666667,0,0
"15.11.2025",6.4,11.1,0,1.2,0
"16.11.2025",7.2,14.2,4.94810555555556,0.7,0
"17.11.2025",7.8,11.6,6.52256666666667,0,0
"18.11.2025",7.6,7.1,7.73476944444444,0,0
"19.11.2025",7.6,6.4,7.66061111111111,0,0
