"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"30.04.2026",9.8,20.1,13.8843972222222,0,0
"01.05.2026",10,23.8,14.4121638888889,0,0
"02.05.2026",9,20.7,12.4130472222222,0.6,0
"03.05.2026",5.6,19.6,6.44951388888889,14,2
"04.05.2026",7.2,12.2,4.25001666666667,0.2,0
"05.05.2026",8.2,9,10.7952805555556,0,0
"06.05.2026",8.4,9.8,10.0502416666667,0,0
"07.05.2026",8.6,9.2,12.8976555555556,0,0
"08.05.2026",8.2,9.9,9.40805,0,0
"09.05.2026",8.6,12.2,15.0346777777778,0,0
"10.05.2026",8.8,15.1,15.1821333333333,0,0
