"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"16.11.2025",9.2,18.3,8.73841944444444,0,0
"17.11.2025",8.8,19.5,7.97965,0,0
"18.11.2025",1,14.8,0,31.7,15
"19.11.2025",4.4,15.2,0,8.6,0
"20.11.2025",8,16.2,8.48666944444444,0.2,0
"21.11.2025",1.4,15.6,0.481925,1.3,15
"22.11.2025",1,11.8,0,2.1,15
"23.11.2025",7.4,13.8,8.48174722222222,0.3,0
"24.11.2025",6.6,9.9,7.70650277777778,0,1
"25.11.2025",7.4,7.4,8.09011388888889,0,0
"26.11.2025",6.4,8.4,8.38901666666667,0,2
