"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"11.11.2025",5.4,11,0.336163888888889,1.4,3
"12.11.2025",8,11.9,4,0,0
"13.11.2025",7.4,13,1.50906111111111,0.1,0
"14.11.2025",6.2,9.2,0,0,0
"15.11.2025",7.2,7.3,6.71202222222222,0,0
"16.11.2025",7.4,6,6.68337222222222,0,0
"17.11.2025",7.8,6.1,6.98490833333333,0,0
"18.11.2025",7,5.6,6.90881111111111,0.3,0
"19.11.2025",7.4,4.1,6.70119722222222,0,0
"20.11.2025",7.4,3.1,6.56133333333333,0,0
"21.11.2025",5.4,4.2,0,2.6,0
