"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"26.02.2026",1,0.5,0,13,15
"27.02.2026",5.4,2.4,0,1.1,0
"28.02.2026",6.2,3.8,0.346827777777778,0.33,0
"01.03.2026",5.4,2.6,0,1,0
"02.03.2026",6.6,1.5,0,0,0
"03.03.2026",6,1.9,0.110319444444444,1.2,0
"04.03.2026",7.6,3.2,9.17118055555556,0.2,0
"05.03.2026",7.4,3.5,3.08584444444444,0,0
"06.03.2026",7.6,3.8,9.41046666666667,0.2,0
"07.03.2026",7.4,2,6.80941666666667,0.4,0
"08.03.2026",6.6,-0.2,9.70417777777778,0,0
