"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg",53.550341,10.000654,1.1,11.6,0,0,5.2
"Berlin","Berlin","Berlin",52.510885,13.3989367,3.5,11.1,0,0,2.5
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern",54.1779039,12.0812875,3.9,10.8,1.23271111111111,0,1.8
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein",54.3146777135231,8.60410826459091,1,9.4,0,0,8.3
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein",53.9981853,10.7799016,2.2,11.1,0,0,3.7
"Norderney","Niedersachsen","Norderney, Niedersachsen",53.7056126,7.1438175,1.5,10.5,0,0,2.16
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern",54.1483764,11.7441876,3.5,10.8,0.176977777777778,0,2.6
"Dresden","Sachsen","Dresden, Sachsen",51.0493286,13.7381437,6,13.5,0,0,1.2
"München","Bayern","München, Bayern",48.1371079,11.5753822,8.2,12.7,6.07031666666667,1,0
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen",50.938361,6.959974,7.6,13.7,3.60089722222222,1,0
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern",54.4010291,13.6076477,5.8,9,3.55872222222222,0,0.7
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen",53.86878,8.698286,1,12,0,0,7.6
"Leipzig","Sachsen","Leipzig, Sachsen",51.3406321,12.3747329,4.2,12.5,0,0,1.4
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen",50.1106444,8.6820917,6.6,12.1,0,1,0
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein",54.1441095,10.9588499,2.9,10,0,0,3.4
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein",54.1298489,8.8586989,1,10,0,0,8.3
"Borkum","Niedersachsen","Borkum, Niedersachsen",53.5862669,6.6917449,1.5,10.8,0,0,2.74
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg",47.659216,9.1750718,8.2,9,5.39293055555556,1,0
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern",53.9864246,11.205923,2.2,10.9,0,0,3.4
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern",47.4923741,11.0962815,8.4,11.8,7.16285555555555,1,0
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein",53.866444,10.684738,2.2,11.1,0,0,3.7
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern",53.5156249,12.6850606,3.7,9.8,0.633925,0,1.9
"Berchtesgaden","Bayern","Berchtesgaden, Bayern",47.6330221,13.0020051,8.2,12.9,6.39309444444444,1,0
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern",53.9583117845254,14.1556338711397,6.2,9.2,3.38070833333333,0,0.5
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen",51.2254018,6.7763137,7,13.2,0.229727777777778,1,0
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern",54.0886707,12.1400211,3.7,10.7,0.676202777777778,0,1.9
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen",53.248706,10.407855,1.3,11.6,0,0,4.7
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein",54.026634,10.7559481,2.2,11.1,0,0,3.7
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein",53.9563395480557,10.8660828563105,2.2,11,0,0,3.8
"Hannover","Niedersachsen","Hannover, Niedersachsen",52.3744779,9.7385532,2.2,12.4,0,0,3
"Oberstdorf","Bayern","Oberstdorf, Bayern",47.4104347,10.2774409,8.4,11.8,7.17434444444444,1,0
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg",48.7784485,9.1800132,8.2,13.6,5.41025833333333,1,0
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen",51.9625101,7.6251879,5.2,13.7,0.706036111111111,0,0.13
"Potsdam","Brandenburg","Potsdam, Brandenburg",52.4009309,13.0591397,3.5,11.2,0,0,2.5
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern",53.8909832,11.4647932,2.9,10.8,0,0,3.8
"Norddeich","Niedersachsen","Norddeich, Niedersachsen",53.6209520645092,7.16051439568982,1.5,12.2,0,0,2.21
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern",54.3096314,13.0820846,5.4,10.2,3.90467777777778,0,1.1
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz",50.3533278,7.5943951,8,14.2,5.08788333333333,1,0
"Lindau","Bayern","Lindau, Bayern",47.550753,9.6926624,8.4,10.8,6.87406111111111,1,0
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg",49.4093582,8.694724,8.2,13.9,5.27798888888889,1,0
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern",54.4387302,12.6821366,5.4,10.2,3.14286666666667,0,1.3
"Erfurt","Thüringen","Erfurt, Thüringen",50.9777974,11.0287364,6.4,13.4,0,0,0.1
"Juist","Niedersachsen","Juist, Niedersachsen",53.6784483,6.9956079,1.5,10.5,0,0,2.32
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen",53.4999753,7.0906967,1.5,12.4,0,0,2.37
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein",54.3717445,10.9809235,3.1,10.5,0,0,4.2
"Füssen","Bayern","Füssen, Bayern",47.5675998,10.6993217,8.4,12.8,6.84005277777778,1,0
"Bremen","Bremen","Bremen",53.0758196,8.8071646,1,12.1,0,0,6.1
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein",54.3227085,10.135555,2.2,11.5,0,0,4.3
"Bamberg","Bayern","Bamberg, Bayern",49.8916044,10.8868478,7.8,12.6,4.33247222222222,1,0
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg",47.9960901,7.8494005,8.6,14.6,6.37621666666667,1,0
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz",50.1483916,7.1663195,8,13.8,5.39603611111111,1,0
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz",49.7596208,6.6441878,8.2,12.8,6.73582777777778,1,0
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern",54.3789509,12.419192,5.2,10.3,2.86941388888889,0,1.4
"Nürnberg","Bayern","Nürnberg, Bayern",49.453872,11.077298,7.8,12.6,4.65806111111111,1,0
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt",51.8344172,10.7862526,2.6,12.2,0,0,1.9
"Bremerhaven","Bremen","Bremerhaven",53.5505392,8.5851945,1,11.7,0,0,7.2
"Görlitz","Sachsen","Görlitz, Sachsen",51.1532076746077,14.9869867830968,5.4,11.5,0,0,2.8
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern",54.076647,13.9089471,6,9.1,3.97385833333333,0,0.6
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg",47.6955538,9.2719656,8.2,8.6,6.48263055555556,1,0
"Weimar","Thüringen","Weimar, Thüringen",50.9793301,11.3297921,6.4,13.4,0,1,0
"Würzburg","Bayern","Würzburg, Bayern",49.7933506809822,9.93146899481068,8,14,4.65013055555556,1,0
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern",53.6288297,11.4148038,2.2,10.4,0,0,3.9
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein",54.9064856,8.3071734,1.1,9.9,0,0,6.25
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen",53.6916344,7.8028095,1.1,11.7,0,0,6.3
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern",54.2552653,12.2517155,3.9,10.5,1.96359444444444,0,1.6
"Ahlbeck","Mecklenburg-Vorpommern","Ahlbeck, Mecklenburg-Vorpommern",53.940567335526,14.1870203187083,6.2,8.8,3.36631111111111,0,0.4
"Schönau am Königssee","Bayern","Schönau am Königssee, Bayern",47.6054955,12.9846526,8.2,12.9,6.39309444444444,1,0
"Bad Schandau","Sachsen","Bad Schandau, Sachsen",50.918091,14.1534018,5.8,13.6,0,0,2.3
"Bad Zwischenahn","Niedersachsen","Bad Zwischenahn, Niedersachsen",53.1801364574887,8.00840837233071,1.1,12.1,0,0,5.9
"Regensburg","Bayern","Regensburg, Bayern",49.0195333,12.0974869,8,10.8,4.04178333333333,1,0
"Titisee-Neustadt","Baden-Württemberg","Titisee-Neustadt, Baden-Württemberg",47.9001945340631,8.15217052598511,8.6,14.2,7.14342222222222,1,0
"Bernkastel-Kues","Rheinland-Pfalz","Bernkastel-Kues, Rheinland-Pfalz",49.9157398,7.0708181,8.2,13,4.80013333333333,1,0
"Wilhelmshaven","Niedersachsen","Wilhelmshaven, Niedersachsen",53.5278793,8.106301,1,11.9,0,0,6
"Husum","Schleswig-Holstein","Husum, Schleswig-Holstein",54.4854137,9.0537941,1,11.1,0,0,8.1
"Dortmund","Nordrhein-Westfalen","Dortmund, Nordrhein-Westfalen",51.5142273,7.4652789,6.6,13.7,0,1,0
"Neuharlingersiel","Niedersachsen","Neuharlingersiel, Niedersachsen",53.6992698,7.7035695,1,11.6,0,0,6.2
"Kassel","Hessen","Kassel, Hessen",51.3157833,9.4978479,6.4,12.4,0.548863888888889,1,0
"Friedrichshafen","Baden-Württemberg","Friedrichshafen, Baden-Württemberg",47.6500279,9.4800858,8.4,9.9,6.877,1,0
