"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"12.12.2025",8.2,6.1,6.58861111111111,0,0
"13.12.2025",8.2,6.6,7.08691666666667,0,0
"14.12.2025",8.2,8.2,7.24155,0,0
"15.12.2025",8.4,9.7,7.33135833333333,0,0
"16.12.2025",8.2,11.2,7.19554166666667,0,0
"17.12.2025",6.8,7,0,0,0
"18.12.2025",8.2,9.1,7.30129722222222,0,0
"19.12.2025",8.4,12,7.34462222222222,0,0
"20.12.2025",7.8,11.4,7.33581388888889,0,0
"21.12.2025",7.8,10.1,7.17290833333333,0,0
"22.12.2025",8,9.3,7.29873333333333,0,0
