"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"01.12.2025",7,6.7,1.52942777777778,0,0
"02.12.2025",6.4,7.4,0,0,0
"03.12.2025",6.4,7.3,0,0.9,0
"04.12.2025",6.4,5.3,0,0.6,0
"05.12.2025",6.8,3.4,0.672388888888889,0,0
"06.12.2025",5.6,4.8,0,1.4,0
"07.12.2025",6.6,4.7,0.955652777777778,0,0
"08.12.2025",5.2,10.2,0,6.3,0
"09.12.2025",6.8,10.3,3.90894444444444,0.8,0
"10.12.2025",7.6,7.7,6.17744444444444,0,0
"11.12.2025",7,2.8,6.08020277777778,0,0
