"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"13.04.2026",7.4,8.9,2.62484722222222,0,0
"14.04.2026",4.2,7.3,0,3,3
"15.04.2026",8.2,12.4,9.89982222222222,0,0
"16.04.2026",8.8,10.1,12.1831111111111,0,0
"17.04.2026",8.6,12.9,12.1550166666667,0,0
"18.04.2026",8.2,10.4,7.74968888888889,0,0
"19.04.2026",5,10.4,0,7.5,0
"20.04.2026",6.6,11.4,2.58045277777778,1.2,0
"21.04.2026",8,11.8,10.8530861111111,0.2,0
"22.04.2026",8.4,11.7,14.4035222222222,0,0
"23.04.2026",8.4,12.6,14.4363194444444,0,0
