"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"16.03.2026",2.8,7.1,1.38176111111111,2,9
"17.03.2026",8.6,10.6,10.3526944444444,0,0
"18.03.2026",8.8,11.8,10.7676444444444,0,0
"19.03.2026",8.4,12.8,10.7655722222222,0.4,0
"20.03.2026",8.4,9.8,9.60265833333333,0,0
"21.03.2026",8.8,11.5,10.771175,0,0
"22.03.2026",9,14.4,10.9566777777778,0,0
"23.03.2026",8.8,13.3,11.2602138888889,0,0
"24.03.2026",8.6,14.6,11.3452222222222,0,0
"25.03.2026",7.8,6,6.2441,0,0
"26.03.2026",8,5,11.4786333333333,0,0
