"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",7.5,11.15,9.46000694444444,2,0
"München","Deutschland :de:",6.1,9.7,8.302575,0,0.7
"Hamburg","Deutschland :de:",6.3,9.15,5.49185555555555,0,1.7
"Köln","Deutschland :de:",1.5,9.7,4.51067361111111,0,7.4
"Dresden","Deutschland :de:",7.4,10.65,9.36426805555556,2,0
"Leipzig","Deutschland :de:",7.6,11.25,8.76027083333333,2,0
"Frankfurt am Main","Deutschland :de:",6.5,11,7.66949444444444,0,1.2
"Freiburg im Breisgau","Deutschland :de:",2.6,9.4,8.2667125,0,0.5
"Berchtesgaden","Deutschland :de:",5.2,9.9,6.69861111111111,0,0.8
"Garmisch-Partenkirchen","Deutschland :de:",4.1,7.05,8.4197375,0,0.2
"Binz (Rügen)","Deutschland :de:",7.1,8.05,6.62634861111111,1,0.1
"Heringsdorf (Usedom)","Deutschland :de:",7.2,8.3,7.73735972222222,2,0
"Westerland (Sylt)","Deutschland :de:",5.3,2.95,1.6007125,1,7.3
"Wernigerode (Harz)","Deutschland :de:",6.4,9.25,9.26714166666667,0,0.2
"Cochem (Mosel)","Deutschland :de:",5,8.95,3.47655555555556,0,4.2
"Kempten (Allgäu)","Deutschland :de:",3.75,7,9.48466527777778,0,0.4
"Nürnberg","Deutschland :de:",5.6,10.25,8.08145833333333,1,0.2
"Münster","Deutschland :de:",2.3,9.6,5.41219305555556,0,10.4
"Stuttgart","Deutschland :de:",6.6,10.5,9.73058194444445,0,0.2
"Norderney","Deutschland :de:",2.15,4.2,4.74939444444444,0,3.9
"Erfurt","Deutschland :de:",7.3,9.9,9.63737916666667,1,0.2
"Bremen","Deutschland :de:",6.3,9.75,7.19052083333333,0,0.8
"Timmendorfer Strand","Deutschland :de:",6.6,9.45,4.17447916666667,1,0.6
"Karlsbad","Tschechien :cz:",7.1,8.5,8.61960555555556,2,0
"Enschede","Niederlande :nl:",2.1,9.1,4.46401666666667,0,9.1
"Pilsen","Tschechien :cz:",7.3,9.05,9.7062,2,0
"Maastricht","Niederlande :nl:",1.7,9.25,3.36838472222222,0,12.9
"Giethoorn","Niederlande :nl:",3.2,7.9,3.62704166666667,0,10.1
"Groningen","Niederlande :nl:",2.1,8.35,4.62539722222222,0,6.9
"Eindhoven","Niederlande :nl:",1,8.6,0.258465277777778,0,15.3
"Prag","Tschechien :cz:",7.7,9.8,9.47784027777778,2,0
"Luxemburg","Luxemburg :lu:",1.65,6.35,0,0,7.1
"Straßburg","Frankreich :fr:",4.05,10.9,7.89766944444444,0,0.3
"Amsterdam","Niederlande :nl:",1.5,7.3,0,0,6.7
"Dinant","Belgien :be:",1.5,8,1.079925,0,15.1
"Rotterdam","Niederlande :nl:",1.8,7.45,1.47305555555556,0,11.6
"Antwerpen","Belgien :be:",1.85,9.65,4.22257083333333,0,10.2
"Zandvoort","Niederlande :nl:",1.75,6.45,0,0,5.3
"Český Krumlov","Tschechien :cz:",7.4,9,8.09490138888889,2,0
"Terschelling","Niederlande :nl:",5.8,5.75,4.74940555555556,0,4.1
