"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"29.12.2025",8,2.7,6.19741388888889,0,0
"30.12.2025",7.8,3.1,6.76115,0,0
"31.12.2025",6.6,3.5,4.20366388888889,0.6,0
"01.01.2026",7.2,2.3,2.21449166666667,0,0
"02.01.2026",7,3,6.70945,0,0
"03.01.2026",6.4,-1.5,6.88830833333333,0,0
"04.01.2026",6.2,-1.9,6.29735555555556,0,0
"05.01.2026",7.2,3.9,3.44348888888889,0,0
"06.01.2026",7.4,2.1,6.92695555555556,0,0
"07.01.2026",7.4,1.5,6.94429722222222,0,0
"08.01.2026",6.6,2.3,5.51719166666667,0.7,0
