"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"08.01.2026",1,3.7,0,7.2,10
"09.01.2026",7.6,7.9,5.41311666666667,0.44,0
"10.01.2026",5.8,3.2,0,0,0
"11.01.2026",6.4,-0.9,7.57745277777778,0,0
"12.01.2026",1,7.4,0,3.1,15
"13.01.2026",6.2,11.1,4.97528333333333,0,2
"14.01.2026",5,10.1,0,2.1,0
"15.01.2026",7.6,8.9,7.64552777777778,0,0
"16.01.2026",7.2,8.1,7.71223888888889,0.5,0
"17.01.2026",6.6,6.9,3.12305,1.5,0
"18.01.2026",7.6,5.8,6.27108055555556,0,0
