"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"24.03.2026",6.4,8.3,1.93856388888889,0.1,1
"25.03.2026",3.3,7.3,2,4.4,7
"26.03.2026",8,6.3,9.04771666666667,0,0
"27.03.2026",8.2,8,9.39587222222222,0,0
"28.03.2026",6.8,6.4,3.04208611111111,0.2,0
"29.03.2026",7.8,7.8,5.38360555555556,0,0
"30.03.2026",5.6,7.6,9.22205277777778,3,2
"31.03.2026",5.8,7.6,2.66128888888889,7.2,0
"01.04.2026",7.2,4.8,12.6767027777778,2.4,0
"02.04.2026",7.8,6.9,11.5760277777778,0,0
"03.04.2026",8,4.3,12.9247527777778,0,0
