"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"01.01.2026",5.4,3.7,0,2.6,0
"02.01.2026",2.2,3.6,2.54564444444444,5.1,8
"03.01.2026",2.9,1.5,0,2.67,6
"04.01.2026",6.2,0.1,6.57713055555556,2.7,0
"05.01.2026",5,-1.3,0.871380555555555,0.1,0
"06.01.2026",6.2,-0.9,6.62733055555556,0,0
"07.01.2026",5.4,-1.5,1.28523611111111,0.3,0
"08.01.2026",5.2,0.9,0,1.2,0
"09.01.2026",4,3.2,0,1.2,3
"10.01.2026",4.6,4.8,0,3.8,0
"11.01.2026",5.6,5.3,0,0.6,0
