"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg",53.550341,10.000654,5.92,-0.2,3.06362111111111,6,5.4
"Berlin","Berlin","Berlin",52.510885,13.3989367,6.28,-0.68,3.47186388888889,7,1.7
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern",54.1779039,12.0812875,5.9,-1.02,3.846665,6,10.8
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein",54.3146777135231,8.60410826459091,5.78,0.17,3.05832666666667,7,7
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein",53.9981853,10.7799016,5.98,-0.62,3.53338083333333,7,6.1
"Norderney","Niedersachsen","Norderney, Niedersachsen",53.7056126,7.1438175,5.84,-0.35,1.49476333333333,6,3.2
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern",54.1483764,11.7441876,5.96,-0.9,3.36399361111111,5,11.5
"Dresden","Sachsen","Dresden, Sachsen",51.0493286,13.7381437,6.88,3.06,4.20474111111111,7,3.5
"München","Bayern","München, Bayern",48.1371079,11.5753822,7.08,4.5,4.85919111111111,6,6.3
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen",50.938361,6.959974,5.69,5.32,1.3626425,4,23.75
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern",54.4010291,13.6076477,6.06,-0.73,3.61578722222222,7,8.9
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen",53.86878,8.698286,6.1,0.3,3.33636861111111,6,6
"Leipzig","Sachsen","Leipzig, Sachsen",51.3406321,12.3747329,6.84,1.91,4.82753638888889,9,0.3
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen",50.1106444,8.6820917,6.92,4.96,3.73991166666667,7,3.6
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein",54.1441095,10.9588499,6.04,-0.47,3.72621972222222,5,8
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein",54.1298489,8.8586989,5.96,0.12,3.07286861111111,7,6.1
"Borkum","Niedersachsen","Borkum, Niedersachsen",53.5862669,6.6917449,5.86,-0.36,1.70876638888889,5,3
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg",47.659216,9.1750718,7.24,6,5.52417666666667,7,7.1
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern",53.9864246,11.205923,5.74,-0.94,3.45199944444444,6,11.1
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern",47.4923741,11.0962815,7.2,6.66,5.72571027777778,6,5.5
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein",53.866444,10.684738,5.98,-0.64,2.95864361111111,7,5.3
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern",53.5156249,12.6850606,5.98,-1.62,3.90593694444444,7,2.7
"Berchtesgaden","Bayern","Berchtesgaden, Bayern",47.6330221,13.0020051,7.04,5.06,5.74167194444444,5,7.9
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern",53.9583117845254,14.1556338711397,5.58,-2.04,3.7857175,6,7.2
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen",51.2254018,6.7763137,5.9,5.07,1.65165027777778,4,17.68
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern",54.0886707,12.1400211,5.82,-1.22,3.68466888888889,5,10.8
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen",53.248706,10.407855,5.96,-0.13,2.8198975,6,7.3
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein",54.026634,10.7559481,5.96,-0.61,3.45817666666667,7,6.1
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein",53.9563395480557,10.8660828563105,5.98,-0.6,3.529135,7,7.4
"Hannover","Niedersachsen","Hannover, Niedersachsen",52.3744779,9.7385532,6.46,0.97,4.20915277777778,4,2.6
"Oberstdorf","Bayern","Oberstdorf, Bayern",47.4104347,10.2774409,7.18,5.16,6.54798416666667,6,7.8
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg",48.7784485,9.1800132,7.3,6.72,5.21066222222222,7,1.8
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen",51.9625101,7.6251879,6,1.58,2.31634611111111,6,8.1
"Potsdam","Brandenburg","Potsdam, Brandenburg",52.4009309,13.0591397,6.38,-0.09,3.54644055555556,7,1.6
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern",53.8909832,11.4647932,5.8,-1.12,3.2737225,7,11.9
"Norddeich","Niedersachsen","Norddeich, Niedersachsen",53.6209520645092,7.16051439568982,5.56,-0.89,1.77815944444444,6,2
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern",54.3096314,13.0820846,5.98,-0.94,3.67844166666667,6,7.7
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz",50.3533278,7.5943951,5.9,5.07,0.867531944444444,5,10.07
"Lindau","Bayern","Lindau, Bayern",47.550753,9.6926624,7.28,6.58,6.20535166666667,6,10.3
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg",49.4093582,8.694724,7.08,6.3,4.13792444444444,6,2.5
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern",54.4387302,12.6821366,6.14,-0.36,4.03551055555556,6,8.8
"Erfurt","Thüringen","Erfurt, Thüringen",50.9777974,11.0287364,6.74,2.17,4.5057425,8,3.4
"Juist","Niedersachsen","Juist, Niedersachsen",53.6784483,6.9956079,5.44,-0.95,1.74102416666667,6,2
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen",53.4999753,7.0906967,5.76,-0.73,2.14048972222222,7,2.4
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein",54.3717445,10.9809235,6.06,0.06,3.81453944444444,6,8.3
"Füssen","Bayern","Füssen, Bayern",47.5675998,10.6993217,7.16,4.71,6.13453861111111,7,6
"Bremen","Bremen","Bremen",53.0758196,8.8071646,6.18,0.84,3.79807305555556,5,5
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein",54.3227085,10.135555,6.06,-0.04,3.58420972222222,6,6.9
"Bamberg","Bayern","Bamberg, Bayern",49.8916044,10.8868478,7.16,3.82,4.33962361111111,9,0.5
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg",47.9960901,7.8494005,7.08,7.67,5.58157444444444,6,7.5
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz",50.1483916,7.1663195,5.67,5.92,1.11802805555556,4,20.53
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz",49.7596208,6.6441878,5.79,6.88,1.43815666666667,4,20.45
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern",54.3789509,12.419192,6.08,-0.7,4.29057194444444,6,10.1
"Nürnberg","Bayern","Nürnberg, Bayern",49.453872,11.077298,7.06,3.67,4.21145138888889,9,0.7
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt",51.8344172,10.7862526,6.68,1.85,4.23754166666667,7,2.5
"Bremerhaven","Bremen","Bremerhaven",53.5505392,8.5851945,6.16,0.44,3.98275194444444,5,5
"Görlitz","Sachsen","Görlitz, Sachsen",51.1532076746077,14.9869867830968,6.26,0.41,3.33603333333333,5,4.9
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern",54.076647,13.9089471,6.06,-1.74,3.79940805555556,6,5.3
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg",47.6955538,9.2719656,7.34,5.77,5.97900472222222,8,5.8
"Weimar","Thüringen","Weimar, Thüringen",50.9793301,11.3297921,6.86,2.62,4.70423611111111,6,2.7
"Würzburg","Bayern","Würzburg, Bayern",49.7933506809822,9.93146899481068,7.1,4.06,4.22121888888889,8,0.8
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern",53.6288297,11.4148038,5.76,-1.12,2.72539833333333,6,9
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein",54.9064856,8.3071734,5.44,-1.37,2.46593805555556,5,5.1
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen",53.6916344,7.8028095,6.1,0.84,3.78829333333333,6,5.7
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern",54.2552653,12.2517155,6.16,-0.75,4.05584083333333,6,10.3
