"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.02.2026",6.2,2.9,6.23917777777778,1.1,2
"16.02.2026",1.5,6.2,1.26804166666667,5.7,10
"17.02.2026",7,6.8,6.66851666666667,0.3,0
"18.02.2026",7.8,2.7,6.09779166666667,0,0
"19.02.2026",7.6,1.6,9.00328055555556,0,0
"20.02.2026",8,4.2,8.81628888888889,0,0
"21.02.2026",1.1,8.9,0,3.3,11
"22.02.2026",5.2,10.9,2.83547222222222,1.4,2
"23.02.2026",6.4,9.6,9.42836388888889,3.2,0
"24.02.2026",7.8,9.4,9.46348611111111,0,0
"25.02.2026",6.4,10.1,0,0,0
