"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"10.11.2025",8,11.2,5.29105833333333,0,0
"11.11.2025",7.8,11.9,4.91023888888889,0,0
"12.11.2025",8.6,13.1,7.15573611111111,0,0
"13.11.2025",8.8,16.9,7.90092777777778,0,0
"14.11.2025",8.4,17.9,5.19723055555556,0,0
"15.11.2025",8.2,14.9,7.10349166666667,0,0
"16.11.2025",7.2,13.2,2.54360555555556,0,0
"17.11.2025",6,8.4,1.6474,0.7,0
"18.11.2025",8,7.6,7.71681666666667,0,0
"19.11.2025",7.6,7.2,7.54231944444444,0,0
"20.11.2025",7.8,5.9,7.51098888888889,0,0
