"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",8.95,17.65,10.1731263888889,4,0
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",8.55,14.9,9.87319444444444,4,0
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",8.9,17.3,10.3676631944444,4,0
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",7.35,15.95,10.0696590277778,1,8.5
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",8.95,16.925,10.1896736111111,4,0
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",9.05,17.5,10.2238506944444,4,0
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",8.6,16.075,9.32252083333333,4,0
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",8.65,16.05,10.6755715277778,3,0.5
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",8.3,13.35,10.3489743055556,2,1
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",8.15,12.85,10.0168125,2,3.4
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",8.6,13.525,10.0572958333333,4,0
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",8.7,15.2,10.0090909722222,4,0
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",6.45,5.875,3.11358125,2,6.7
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",8.7,15.825,10.4513979166667,4,0
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",8.4,15.975,10.548825,1,0.8
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",8.45,13.725,10.2973041666667,3,1.4
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",8.7,16.475,9.95112222222222,4,0
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",7.85,15.45,10.3928368055556,1,4.9
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",8.25,15.7,10.5985770833333,2,2.7
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",6.45,8.075,3.09961180555556,3,4
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",9.05,17.025,10.2548027777778,4,0
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",8.55,17.125,9.22032569444444,3,0.3
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",8.8,16.375,10.1828972222222,4,0
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",8.7,14.875,10.2719597222222,4,0
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",7.4,14.75,8.73151736111111,1,5.4
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",8.75,15.15,9.73090416666667,4,0
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",7.25,14.975,10.0301673611111,1,8.8
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",6.55,13.125,5.20205833333333,2,4.8
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",6.5,13,3.15753333333333,1,6.1
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",7.3,14.525,8.73538472222222,1,11.3
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",8.75,15.35,10.2577694444444,4,0
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",7.5,13.8,10.4270854166667,0,4.6
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",8.5,16.75,10.4332458333333,3,0.9
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",5.825,12.55,3.95772152777778,1,8.5
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",7.025,14.1,8.07622013888889,2,3.1
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",6.25,12.825,4.80443611111111,1,9.7
"Antwerpen","Belgien",51.2211097,4.3997081,"Antwerpen, Belgien",6.2,13.425,5.53929305555556,1,9.7
"Zandvoort","Niederlande",52.3719838,4.5302209,"Zandvoort, Niederlande",5.925,10.225,3.85753472222222,3,8.6
"Český Krumlov","Tschechien",48.8106526,14.3150586,"Český Krumlov, Tschechien",8.3,13.2,10.3385013888889,3,2.4
"Terschelling","Niederlande",53.3643463061866,5.21443497127834,"Terschelling, Niederlande",6.65,8.75,3.35158472222222,2,8
"Noordwijk","Niederlande",52.2410856,4.4461969,"Noordwijk, Niederlande",6.025,11.825,4.15593263888889,3,6.6
"Bergen aan Zee","Niederlande",52.6607662,4.6316645,"Bergen aan Zee, Niederlande",5.8,11,2.76276597222222,3,8.6
"Nancy","Frankreich",48.6896465492961,6.18236505173213,"Nancy, Frankreich",8.2,15.7,9.52070347222222,3,0.2
"Brüssel","Belgien",50.8465573,4.351697,"Brüssel, Belgien",6.3,13.625,6.07116180555556,1,9.7
"Texel","Niederlande",53.0543143461686,4.79876535287512,"Texel, Niederlande",6.25,9.8,2.15012152777778,3,8
"Scheveningen","Niederlande",52.1067449,4.2736937,"Scheveningen, Niederlande",5.925,11.75,4.55608402777778,2,7.4
"Fåborg","Dänemark",55.097087,10.2428246,"Fåborg, Dänemark",6.55,9.375,1.68250069444444,1,3
"Salzburg","Österreich",47.7981346,13.0464806,"Salzburg, Österreich",8.35,15.025,10.1287465277778,2,1.2
"Renesse","Niederlande",51.7311823,3.7719799,"Renesse, Niederlande",5.85,11.875,4.26795694444444,0,9.2
"Linz","Österreich",48.3059078,14.286198,"Linz, Österreich",8.7,15.325,10.1951888888889,3,0.2
"Zürich","Schweiz",47.3744489,8.5410422,"Zürich, Schweiz",8.7,15.9,10.7183270833333,4,0
"Basel","Schweiz",47.5589680548118,7.58875075727046,"Basel, Schweiz",8.5,16.15,10.5967993055556,4,0
"Innsbruck","Österreich",47.2654296,11.3927685,"Innsbruck, Österreich",8.5,12.075,10.4732604166667,3,2.4
"Domburg","Niederlande",51.5632141,3.4967277,"Domburg, Niederlande",5.8,11.8,4.52621875,0,10.7
"Breslau","Polen",51.1082644352883,17.0337679840311,"Breslau, Polen",8.95,16.8,10.3056375,4,0
"Køge","Dänemark",55.4565009,12.1818964,"Køge, Dänemark",7.95,12,7.67181041666667,3,0.1
"Posen","Polen",52.4082663,16.9335199,"Posen, Polen",9,16.625,10.2904506944444,4,0
"Zell am See","Österreich",47.3239636,12.7963165,"Zell am See, Österreich",8.15,10.65,10.0747923611111,3,5.4
"Brügge","Belgien",51.2085526,3.226772,"Brügge, Belgien",5.75,13.075,5.37597013888889,0,11.6
"Hallstatt","Österreich",47.5621698,13.6486697,"Hallstatt, Österreich",8.05,12.7,9.77411597222222,2,3.7
"Luzern","Schweiz",47.0505452,8.3054682,"Luzern, Schweiz",8.35,15.375,10.0442895833333,3,0.3
"De Haan","Belgien",51.2671194,3.0408427,"De Haan, Belgien",5.9,12.2,4.65083611111111,0,8.8
"Ostende","Belgien",51.2258565,2.919496,"Ostende, Belgien",5.85,12.325,4.64499791666667,1,9.4
"Kopenhagen","Dänemark",55.6867243,12.5700724,"Kopenhagen, Dänemark",7.3,8.425,5.91292986111111,1,0.9
"Malmö","Schweden",55.6052931,13.0001566,"Malmö, Schweden",7.2,7.65,6.45142013888889,1,4.6
"Brünn","Tschechien",49.1944262292563,16.6077238664507,"Brünn, Tschechien",8.75,14.2,10.1562479166667,4,0
"Meran","Italien",46.6695547,11.1594185,"Meran, Italien",8.3,12.1,10.1245111111111,2,1.1
"Bern","Schweiz",46.9484742,7.4521749,"Bern, Schweiz",8.6,14.675,10.6564729166667,4,0
"Bornholm","Dänemark",55.1431224,14.9226297,"Bornholm, Dänemark",7.8,9.525,5.81797638888889,4,0
"Aarhus","Dänemark",56.1496278,10.2134046,"Aarhus, Dänemark",6.55,9.35,1.79777222222222,1,5.6
"St. Moritz","Schweiz",46.4978958,9.8392428,"St. Moritz, Schweiz",7.85,1.675,10.5190666666667,3,0.3
"Hvide Sande","Dänemark",56.0057884,8.1288435,"Hvide Sande, Dänemark",5.6,7.425,1.15938333333333,1,10.6
"Interlaken","Schweiz",46.6855231,7.8585139,"Interlaken, Schweiz",8.3,13.7,10.4794909722222,3,1.06
"Bozen","Italien",46.4984781,11.3547399,"Bozen, Italien",8.4,14.35,10.0594826388889,2,1.1
"Wien","Österreich",48.2083537,16.3725042,"Wien, Österreich",8.8,13.975,10.2194923611111,4,0
"Dijon","Frankreich",47.3306482417266,5.04637916570386,"Dijon, Frankreich",7.95,14.8,9.48879513888889,2,1.5
"Ostrava","Tschechien",49.8357051466446,18.2847749462072,"Ostrava, Tschechien",8.85,15.625,10.2414993055556,4,0
"Klagenfurt am Wörthersee","Österreich",46.623943,14.3075976,"Klagenfurt am Wörthersee, Österreich",8.4,14,9.48475,3,0.45
"Riva del Garda","Italien",45.8847708,10.8396942,"Riva del Garda, Italien",8.35,14.525,9.47323819444444,3,0.6
"Graz","Österreich",47.0708678,15.4382786,"Graz, Österreich",7.7,12.45,9.176825,1,13.05
"Le Touquet-Paris-Plage","Frankreich",50.519693648444,1.5869973052921,"Le Touquet-Paris-Plage, Frankreich",5.375,10.75,2.61651388888889,1,11.5
"Bratislava","Slowakei",48.1516988,17.1093063,"Bratislava, Slowakei",8.6,14.575,9.48994097222222,3,0.76
"Zermatt","Schweiz",46.0212076,7.749254,"Zermatt, Schweiz",8.1,3.85,10.5860854166667,4,0
"Bled","Slowenien",46.3684202,14.1100595,"Bled, Slowenien",7.85,11.75,9.92583680555556,2,5.96
"Paris","Frankreich",48.8534951,2.3483915,"Paris, Frankreich",6.35,13.425,4.19714791666667,1,13.5
"Norwich","England",52.6303076934772,1.29532126502049,"Norwich, England",6.7,11.475,4.88296041666667,2,5.1
"Ipswich","England",52.0570559966874,1.15209854040659,"Ipswich, England",6.5,11.2,2.91616944444444,2,4.66
"Katowice","Polen",50.264663446807,19.0188489472198,"Katowice, Polen",8.65,15.375,10.4025861111111,3,2.4
"Torri del Benaco","Italien",45.6094493,10.6873869,"Torri del Benaco, Italien",8.15,13.525,8.53253958333333,2,0.86
"Genf","Schweiz",46.2017559,6.1466014,"Genf, Schweiz",7.325,12.675,10.4523736111111,3,0.16
"Sirmione","Italien",45.465106341539,10.6074284600272,"Sirmione, Italien",8.15,14.4,8.41841041666667,3,0.4
"Mailand","Italien",45.4641943,9.1896346,"Mailand, Italien",7.85,14.1,8.19917430555556,2,2.4
"Danzig","Polen",54.3706858,18.6129831,"Danzig, Polen",8.85,14.65,10.1342680555556,4,0
"Maribor","Slowenien",46.5536194239738,15.6470952284808,"Maribor, Slowenien",7.75,12.4,9.38610763888889,0,12.8
"Ljubljana","Slowenien",46.0500268,14.5069289,"Ljubljana, Slowenien",8.35,14.85,9.92990208333333,2,3.8
"Annecy","Frankreich",45.8992348,6.1288847,"Annecy, Frankreich",7.9,14.3,9.49915347222222,2,2.4
"Venedig","Italien",45.4371908,12.3345898,"Venedig, Italien",8.5,14.225,9.61429583333333,4,0
"Triest","Italien",45.651996855795,13.7625166166528,"Triest, Italien",8.2,12.775,10.1579673611111,2,0.66
"Cambridge","England",52.2039079652867,0.123678265263848,"Cambridge, England",6.7,11.375,3.82563125,2,1.96
"Krakau","Polen",50.0619474,19.9368564,"Krakau, Polen",8.9,16.55,10.4407548611111,4,0
"Skagen","Dänemark",57.7259703,10.5844602,"Skagen, Dänemark",6.25,8.775,2.62000069444444,1,6.8
"London","England",51.4893335,-0.1440551,"London, England",5.65,11.65,4.06685763888889,2,5.1
"Göteborg","Schweden",57.7072326,11.9670171,"Göteborg, Schweden",5.125,6.475,2.06768263888889,1,9.3
"Brighton","England",50.8214626,-0.1400561,"Brighton, England",5.575,10.7,5.20070833333333,2,10.8
"Zakopane","Polen",49.2969114,19.9504753,"Zakopane, Polen",8.4,12.225,10.4703472222222,3,0.6
"Lyon","Frankreich",45.7578137,4.8320114,"Lyon, Frankreich",7.85,15.175,8.96304513888889,1,4.5
"Bourges","Frankreich",47.0816637770149,2.3971472645533,"Bourges, Frankreich",7.1,12.525,6.50672291666667,1,12.96
"Rovinj","Kroatien",45.0807411,13.6417282,"Rovinj, Kroatien",8.05,13.475,10.1812319444444,2,3.6
"Balaton","Ungarn",46.8839313,17.8476796,"Balaton, Ungarn",8.65,14,9.76394305555555,4,0
"Zagreb","Kroatien",45.8130967,15.9772795,"Zagreb, Kroatien",8.7,16.475,9.84717152777778,3,0.3
"Deauville","Frankreich",49.3575767556172,0.0714877491844544,"Deauville, Frankreich",5.35,11.725,3.26146736111111,1,13.94
"Warschau","Polen",52.2319581,21.0067249,"Warschau, Polen",8.85,15.675,10.4345430555556,4,0
"Hohe Tatra (Tatranská Lomnica)","Slowakei",49.13815,20.21931,"Hohe Tatra (Tatranská Lomnica), Slowakei",8.1,10.325,10.4648986111111,2,4.2
"Pula","Kroatien",44.8702281,13.8455311,"Pula, Kroatien",7.9,13.9,9.65289652777778,3,3.1
"Budapest","Ungarn",47.4970637896166,19.0389974414942,"Budapest, Ungarn",8.9,15.55,10.3754194444444,4,0
"Kristiansand","Norwegen",58.1471572706719,7.9950701511758,"Kristiansand, Norwegen",3.275,6.525,2.90164305555556,1,21.8
"Oxford","England",51.7521094440644,-1.25943310722207,"Oxford, England",6.6,11.025,4.92289583333333,1,3.6
"Cinque Terre","Italien",44.1222144,9.7132501,"Cinque Terre, Italien",6.5,14.225,6.10540277777778,0,12.1
"Isle of Wight","England",50.6985908387884,-1.29460617388774,"Isle of Wight, England",6.225,11.125,6.12898611111111,1,2.56
"Le Mans","Frankreich",48.0040247155424,0.196846381986147,"Le Mans, Frankreich",5.675,11.7,3.2647,1,20.26
"Clermont-Ferrand","Frankreich",45.7775124600661,3.08329535096197,"Clermont-Ferrand, Frankreich",7.5,13.6,8.99897013888889,0,4.35
"York","England",53.9613991992233,-1.08076703662315,"York, England",7.15,10.1,5.83265347222222,2,0.9
"Plitvicer Seen","Kroatien",44.8654878218141,15.5820762694377,"Plitvicer Seen, Kroatien",7.6,10.375,9.67653333333333,1,3.9
"Rimini","Italien",44.0594531009706,12.5690522641146,"Rimini, Italien",7.95,12.7,8.40314444444444,3,0.2
"Viareggio","Italien",43.8672392,10.2506055,"Viareggio, Italien",7.15,15.65,7.69692152777778,0,5
"Birmingham","England",52.4788842342774,-1.89786812579122,"Birmingham, England",6.525,9.925,5.94794583333333,1,0.46
"Florenz","Italien",43.7697955,11.2556404,"Florenz, Italien",7.55,15.825,8.26681944444444,1,5.8
