"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"20.02.2026",8,12.3,5.88796944444444,0,0
"21.02.2026",7.4,14.6,1.26361111111111,0.23,0
"22.02.2026",6.4,13.1,2.9503,3.7,0
"23.02.2026",8.4,14.9,9.17605555555556,0,0
"24.02.2026",8.4,16.6,6.82716388888889,0,0
"25.02.2026",7.6,14.7,6.91127222222222,0,0
"26.02.2026",1.1,11.6,0,7.4,11
"27.02.2026",6,12.2,0,0.2,0
"28.02.2026",8,12.2,9.95812222222222,0,0
"01.03.2026",8,9.7,9.90586388888889,0,0
"02.03.2026",7.8,9.1,9.88632222222222,0,0
