"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",6.2,-3.4,4.77397592592593,3,0
"Berlin","Berlin","Berlin","(BE)",5.8,-5.1,3.96295833333333,3,0
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",5.66666666666667,-5.5,6.13421388888889,3,0
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",5.6,-3.26666666666667,3.05498518518519,2,1.7
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",5.46666666666667,-4.53333333333333,2.34391574074074,3,0
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",5.73333333333333,-1.03333333333333,2.36537222222222,1,3.1
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",6,-5.06666666666667,5.20165,3,0
"Dresden","Sachsen","Dresden, Sachsen","(SN)",6.53333333333333,0.666666666666667,2.40446018518519,2,1.06
"München","Bayern","München, Bayern","(BY)",6.66666666666667,1.4,1.81349814814815,1,2.6
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",6.93333333333333,7.4,4.71243611111111,1,3.6
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",5.86666666666667,-4.76666666666667,4.80658981481482,3,0
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",5.93333333333333,-2.86666666666667,5.6314462962963,1,1.2
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",6.53333333333333,-1.33333333333333,6.15210092592593,3,0
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",6.93333333333333,3.26666666666667,3.16255925925926,3,0
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",5.66666666666667,-4.26666666666667,3.293575,3,0
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",5.86666666666667,-3.3,3.60756666666667,2,0.4
