"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"08.03.2026",8.4,9.4,8.348075,0,0
"09.03.2026",8.4,8.6,9.3208,0,0
"10.03.2026",8.2,7.1,7.465825,0,0
"11.03.2026",8.4,13.6,8.92036944444444,0,0
"12.03.2026",7.8,9.1,6.29636388888889,0,0
"13.03.2026",8,14.1,9.99930555555556,0,0
"14.03.2026",7.6,9.7,7.39622222222222,0,0
"15.03.2026",8,4.5,8.577475,0,0
"16.03.2026",8,3.5,10.6371583333333,0,0
"17.03.2026",7.2,3.4,4.26570277777778,0.3,0
"18.03.2026",8.2,5.6,10.7606472222222,0,0
