"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"26.11.2025",1,0.4,0,13.8,15
"27.11.2025",7.8,0.5,7.665475,0,0
"28.11.2025",7.8,4,7.62012222222222,0,0
"29.11.2025",3.2,5.3,4.16695555555556,3.4,8
"30.11.2025",6.2,3.6,0,0,0
"01.12.2025",5.6,0.3,0,2.4,0
"02.12.2025",5.8,4.5,0.551416666666667,1.5,0
"03.12.2025",7.6,3.7,7.49141388888889,0,0
"04.12.2025",7.4,3.8,7.437975,0,0
"05.12.2025",7.4,3.9,7.41150277777778,0,0
"06.12.2025",7.8,5.3,7.41545,0,0
