"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",7.5,8.2,5.78463888888889,2,0
"München","Deutschland :de:",7.8,7.85,6.88874444444444,2,0
"Hamburg","Deutschland :de:",6.3,7.85,2.94847777777778,1,1.8
"Köln","Deutschland :de:",7.4,10.25,4.54699861111111,2,0
"Dresden","Deutschland :de:",8.1,10.1,6.37528472222222,2,0
"Leipzig","Deutschland :de:",7.7,8.95,4.78130555555556,2,0
"Frankfurt am Main","Deutschland :de:",6.8,8.05,3.47764722222222,1,0.2
"Freiburg im Breisgau","Deutschland :de:",7.5,11.85,7.09349027777778,2,0
"Berchtesgaden","Deutschland :de:",7.7,7.55,7.14476527777778,2,0
"Garmisch-Partenkirchen","Deutschland :de:",7.8,8.4,7.29779444444444,2,0
"Binz (Rügen)","Deutschland :de:",7.3,7.6,5.25556805555556,2,0
"Heringsdorf (Usedom)","Deutschland :de:",7.4,7.4,5.49467083333333,2,0
"Westerland (Sylt)","Deutschland :de:",6,8.9,1.04733888888889,1,5.2
"Wernigerode (Harz)","Deutschland :de:",7.4,8.95,5.74091666666667,2,0
"Cochem (Mosel)","Deutschland :de:",7.8,9.55,6.88701527777778,2,0
"Kempten (Allgäu)","Deutschland :de:",7.8,8.5,7.1432875,2,0
"Nürnberg","Deutschland :de:",7.6,7.4,6.75655555555556,2,0
"Münster","Deutschland :de:",7.3,9.45,3.52110833333333,2,0
"Stuttgart","Deutschland :de:",7.6,8.9,7.01198888888889,2,0
"Norderney","Deutschland :de:",6.3,8.7,0,2,0
"Erfurt","Deutschland :de:",7.7,9.5,6.02087083333333,2,0
"Bremen","Deutschland :de:",6.3,8.6,2.99036666666667,1,2.1
"Timmendorfer Strand","Deutschland :de:",6.3,7.9,2.89836388888889,1,1.2
"Karlsbad","Tschechien :cz:",7.5,7.25,5.94813194444444,2,0
"Enschede","Niederlande :nl:",7,8.95,3.02787777777778,2,0
"Pilsen","Tschechien :cz:",7.8,5.8,6.72819722222222,2,0
"Maastricht","Niederlande :nl:",7.4,9.85,4.79726111111111,2,0
"Giethoorn","Niederlande :nl:",6.2,9.75,0,1,1.2
"Groningen","Niederlande :nl:",6.5,9.85,0.115166666666667,1,0.1
"Eindhoven","Niederlande :nl:",6.5,9.65,0.257715277777778,2,0
"Prag","Tschechien :cz:",7.8,6.4,6.69170555555556,2,0
"Luxemburg","Luxemburg :lu:",7.7,8.15,6.91420138888889,2,0
"Straßburg","Frankreich :fr:",7.5,9.55,6.49969444444444,2,0
"Amsterdam","Niederlande :nl:",6.5,10.05,1.19305416666667,1,0.6
"Dinant","Belgien :be:",7.5,9.4,6.17723055555556,2,0
"Rotterdam","Niederlande :nl:",6.7,9.8,2.52200694444444,1,0.6
"Antwerpen","Belgien :be:",6.4,9.2,0.0893597222222222,1,0.6
"Zandvoort","Niederlande :nl:",6.7,9.75,2.24876388888889,1,0.6
"Český Krumlov","Tschechien :cz:",7.8,7.55,6.94895555555556,2,0
"Terschelling","Niederlande :nl:",7,10.35,3.24306666666667,1,0.1
"Noordwijk","Niederlande :nl:",6.7,10.15,2.22127916666667,1,0.6
"Bergen aan Zee","Niederlande :nl:",6.3,10.3,1.71294722222222,0,0.8
"Nancy","Frankreich :fr:",7.1,9.25,6.67050277777778,0,1.5
"Brüssel","Belgien :be:",6.4,9,0.638293055555556,1,0.6
"Texel","Niederlande :nl:",6.5,10.55,1.63386527777778,0,0.7
"Scheveningen","Niederlande :nl:",6.7,10.2,2.22730416666667,1,0.6
"Fåborg","Dänemark :dk:",6.1,8.1,0.919668055555556,1,1.4
"Salzburg","Österreich :at:",7.7,7.55,7.07622916666667,2,0
"Renesse","Niederlande :nl:",6.7,10.25,2.82833611111111,1,1.2
"Linz","Österreich :at:",7.8,6.15,7.0375,2,0
"Zürich","Schweiz :ch:",7.6,7.9,7.17835555555556,1,0.2
"Basel","Schweiz :ch:",7.4,10.2,7.16866111111111,1,0.4
"Innsbruck","Österreich :at:",8,9.75,7.3489875,2,0
"Domburg","Niederlande :nl:",6.7,10.2,3.04946944444444,0,1.5
"Breslau","Polen :pl:",8,7.1,6.46433055555556,2,0
