"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.04.2026",9.4,16.8,12.296475,0,0
"16.04.2026",8,12,6.07476666666667,0,0
"17.04.2026",8.8,17.3,9.73806388888889,0,0
"18.04.2026",9,14.9,14.5332,0,0
"19.04.2026",9,12.4,14.7337833333333,0,0
"20.04.2026",9,12.9,14.8244305555556,0,0
"21.04.2026",9,14.4,14.9149722222222,0,0
"22.04.2026",8.8,14.8,14.9966305555556,0,0
"23.04.2026",8.4,11.8,15,0,0
"24.04.2026",8.4,14.8,15,0,0
"25.04.2026",8.4,14.8,15,0,0
