"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"07.04.2026",9.2,13.3,12.4253805555556,0,0
"08.04.2026",9.2,13.2,12.6582833333333,0,0
"09.04.2026",8.6,12.2,11.3799138888889,0,0
"10.04.2026",4.4,7.9,0.0389388888888889,10.7,0
"11.04.2026",9,14.3,13.2798888888889,0,0
"12.04.2026",5.8,9.9,1.46716944444444,3,0
"13.04.2026",7.6,11.5,7.17555833333333,0.4,0
"14.04.2026",9,16.4,13.6085694444444,0,0
"15.04.2026",7.4,10.5,3.18769444444444,0,0
"16.04.2026",7.8,14.9,7.19754722222222,0.3,0
"17.04.2026",8.8,19.9,13.7248694444444,0,0
