"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",7.15714285714286,18.1857142857143,8.70453650793651,3,17.3
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",8.25714285714286,20.9714285714286,10.1111424603175,2,12.6
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",7.94285714285714,17.5857142857143,8.87234126984127,4,11.8
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",6.15714285714286,17.4571428571429,7.8886496031746,1,23.81
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",7.74285714285714,20.5142857142857,9.87284603174603,2,16.66
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",7.42857142857143,19.2428571428571,9.14819880952381,1,14
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",7.55714285714286,20.2857142857143,8.86015674603175,2,16.9
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",7.57142857142857,19.0571428571429,8.77069484126984,2,9.9
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",8.68571428571429,21.4285714285714,11.4740551587302,2,9.1
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",6.04285714285714,19.0571428571429,9.83309642857143,0,19.38
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",7.77142857142857,13.1571428571429,9.17485833333333,6,2.5
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",6.71428571428571,14.2571428571429,8.3545246031746,3,11.78
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",8.77142857142857,12.4857142857143,14.4594623015873,7,0
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",6.27142857142857,15.3857142857143,7.28199920634921,2,11.16
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",6.61428571428571,18.8142857142857,7.08127619047619,0,18.05
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",7.64285714285714,18.5428571428571,9.47231468253968,2,11.47
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",7.94285714285714,21.0714285714286,10.2387456349206,2,10.45
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",6.37142857142857,16.6857142857143,6.58838214285714,0,15.88
