"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"29.03.2026",9.4,16.3,12,0,0
"30.03.2026",9,14.8,12,0,0
"31.03.2026",4.2,13.9,1.29934722222222,4.4,5
"01.04.2026",8,16.4,5.43514722222222,0,0
"02.04.2026",8,17.2,5.97551666666667,0,0
"03.04.2026",7,14.3,2.39817777777778,1.6,0
"04.04.2026",7.4,14.8,10.2900694444444,6,0
"05.04.2026",9,14.6,12.6818416666667,0,0
"06.04.2026",9.4,16,12.7889611111111,0,0
"07.04.2026",9.4,16.8,12.8084194444444,0,0
"08.04.2026",9.2,17.7,12.8276805555556,0,0
