"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"06.12.2025",5.4,7.9,2.98787222222222,2.8,1
"07.12.2025",2.9,9.9,0,3.14,6
"08.12.2025",7,12.6,0,0,0
"09.12.2025",7.6,10.6,2.88310555555556,0,0
"10.12.2025",7.2,8.1,5.38348055555555,0.8,0
"11.12.2025",7.8,9.9,6.66391388888889,0.2,0
"12.12.2025",6.8,3.9,0.2992,0,0
"13.12.2025",8,6.9,7.20677222222222,0,0
"14.12.2025",8,8.7,7.18686666666667,0,0
"15.12.2025",7.8,8.8,7.02491666666667,0,0
"16.12.2025",7.8,9.6,7.22583055555556,0,0
