"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"25.02.2026",9,17.5,9.20398611111111,0,0
"26.02.2026",7.8,15.5,1.229575,0,0
"27.02.2026",7.8,16.3,7.77513333333333,1.3,0
"28.02.2026",6,13,1.28329444444444,5,0
"01.03.2026",8.4,11.6,8.69578611111111,0,0
"02.03.2026",8.6,15.1,9.88334166666667,0,0
"03.03.2026",8.8,14.4,10.0342833333333,0,0
"04.03.2026",8.8,14.9,10.1603416666667,0,0
"05.03.2026",8.6,15.8,10.2648444444444,0,0
"06.03.2026",8.8,16.3,10.33505,0,0
"07.03.2026",8.6,13.9,10.3730027777778,0,0
