"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"04.12.2025",7.6,17.5,3.69004444444444,0.2,0
"05.12.2025",1,11.9,0,10.4,10
"06.12.2025",6.2,12.6,0.69045,2.1,0
"07.12.2025",8.4,13.9,8.31949722222222,0,0
"08.12.2025",8.6,14.4,8.30252222222222,0,0
"09.12.2025",8.6,14.5,8.28676111111111,0,0
"10.12.2025",8.6,15.1,8.27225833333333,0,0
"11.12.2025",8.6,15.2,8.24943611111111,0,0
"12.12.2025",8.4,14.4,8.23753888888889,0,0
"13.12.2025",8,14.8,7.91664166666667,0,0
"14.12.2025",8,16,5.68639722222222,0,0
