"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",6.55555555555556,-2.06666666666667,5.94270061728395,8,3.7
"München","Deutschland :de:",7.28888888888889,1.74444444444444,6.27634166666667,7,1.1
"Hamburg","Deutschland :de:",6.53333333333333,-2.06666666666667,6.45166481481481,8,1.1
"Köln","Deutschland :de:",7.64444444444444,3.93333333333333,6.54432283950617,8,0.4
"Dresden","Deutschland :de:",6.97777777777778,-0.688888888888889,6.78928950617284,8,0.6
"Leipzig","Deutschland :de:",6.73333333333333,-1.44444444444444,6.39686234567901,8,1.4
"Frankfurt am Main","Deutschland :de:",7.04444444444444,1.37777777777778,4.67033148148148,8,3
"Freiburg im Breisgau","Deutschland :de:",7.08888888888889,3.53333333333333,5.06090277777778,6,3.4
"Berchtesgaden","Deutschland :de:",7.51111111111111,2.8,7.73691049382716,7,1
"Garmisch-Partenkirchen","Deutschland :de:",7.75555555555556,5.77777777777778,7.18345617283951,8,2.5
"Binz (Rügen)","Deutschland :de:",7.02222222222222,-0.922222222222222,5.74293487654321,7,1
"Heringsdorf (Usedom)","Deutschland :de:",6.55555555555556,-2.32222222222222,6.42829938271605,7,3.4
"Westerland (Sylt)","Deutschland :de:",6.37777777777778,0.177777777777778,2.9985037037037,7,2
"Wernigerode (Harz)","Deutschland :de:",6.66666666666667,-0.411111111111111,6.72965339506173,8,1.7
"Cochem (Mosel)","Deutschland :de:",7.73333333333333,4.88888888888889,6.0808975308642,9,0
"Kempten (Allgäu)","Deutschland :de:",7.24444444444444,2.51111111111111,6.12551790123457,7,1.8
"Nürnberg","Deutschland :de:",7.51111111111111,1.91111111111111,6.94394444444444,8,1.9
"Münster","Deutschland :de:",7.13333333333333,1.78888888888889,4.81468950617284,6,0.9
"Stuttgart","Deutschland :de:",7.24444444444444,2.98888888888889,4.52154660493827,7,2.3
"Norderney","Deutschland :de:",6.82222222222222,0.844444444444444,4.79202222222222,7,9.8
"Erfurt","Deutschland :de:",6.33333333333333,-2.43333333333333,5.39547222222222,8,0.8
"Bremen","Deutschland :de:",6.55555555555556,-1.47777777777778,5.84998240740741,8,1.5
"Timmendorfer Strand","Deutschland :de:",6.62222222222222,-1.54444444444444,6.37328148148148,8,1.9
"Karlsbad","Tschechien :cz:",6.62222222222222,-1.98888888888889,6.34600864197531,8,0.4
"Enschede","Niederlande :nl:",6.88888888888889,1.37777777777778,4.80254969135803,8,0.2
"Pilsen","Tschechien :cz:",6.77777777777778,-1.34444444444444,4.83540061728395,8,0.4
