"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"10.02.2026",7.4,5.7,4.70074722222222,0.3,0
"11.02.2026",1,9.1,0,5.29,13
"12.02.2026",1.2,10.9,2.22763888888889,3,13
"13.02.2026",1.4,9.3,3.45200277777778,3.4,15
"14.02.2026",3.6,5.1,0,9.05,1
"15.02.2026",6.4,-0.3,8.96762222222222,0,0
"16.02.2026",6,1.9,7.51095,2.6,0
"17.02.2026",2.6,4.3,1.23454444444444,0.7,8
"18.02.2026",5.8,5.7,2.27271666666667,1,0
"19.02.2026",4.2,8.3,0,6.3,1
"20.02.2026",4.4,8.4,1.07673333333333,2.9,3
