"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"16.12.2025",6.8,8.7,0,0,0
"17.12.2025",6.2,5.9,0.508497222222222,1.5,0
"18.12.2025",5.2,6.4,0,2.23,0
"19.12.2025",5,7.1,0,0.7,2
"20.12.2025",7.4,5.2,2.50514722222222,0,0
"21.12.2025",6.8,4.8,0.279519444444444,0,0
"22.12.2025",7,1.5,2.50409166666667,0,0
"23.12.2025",7,1.1,2.51391111111111,0,0
"24.12.2025",7.2,2.6,2.53051944444444,0,0
"25.12.2025",5.8,-1,2.90006666666667,0,0
"26.12.2025",6,-2.8,2.91914166666667,0,0
