"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"21.04.2026",9.2,13.3,13.634125,0,0
"22.04.2026",9.6,18.8,13.865125,0,0
"23.04.2026",9.4,17.6,14.2518583333333,0,0
"24.04.2026",9.2,15.9,14.6371027777778,0,0
"25.04.2026",8,11.6,14.6708305555556,1,0
"26.04.2026",8.8,9.4,14.7044527777778,0,0
"27.04.2026",8.8,10.4,14.7873,0,0
"28.04.2026",8.6,11.6,11.3202666666667,0,0
"29.04.2026",8.8,10.8,14.54435,0,0
"30.04.2026",9,13.6,14.9583361111111,0,0
"01.05.2026",8.8,9.3,15.1013388888889,0,0
