"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"14.01.2026",5.6,7.1,4.93405833333333,1.7,3
"15.01.2026",6.8,9.2,0.394930555555556,0.1,0
"16.01.2026",7.4,10.6,3.07364444444444,0.1,0
"17.01.2026",7.8,8.2,6.61495555555556,0,0
"18.01.2026",6.4,2.5,0,0,0
"19.01.2026",7.2,4.8,6.87237777777778,0,0
"20.01.2026",8,6.2,7.25519444444444,0,0
"21.01.2026",7.6,4.2,7.08552222222222,0,0
"22.01.2026",6.4,1.8,0,0,0
"23.01.2026",6.2,2.7,0,0,0
"24.01.2026",6.2,3,0,0,0
