"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"21.01.2026",8,1.4,6.109675,0,0
"22.01.2026",8,1.6,7.14234444444444,0,0
"23.01.2026",8,5.2,6.65099444444444,0,0
"24.01.2026",6.4,1,0,0,0
"25.01.2026",6.2,1.5,0,0,0
"26.01.2026",5.4,0.6,0,4.2,0
"27.01.2026",7.6,2.8,7.55819166666667,0,0
"28.01.2026",7,6.2,5.18905,0.9,0
"29.01.2026",6.2,10.3,4.78720277777778,3.2,0
"30.01.2026",6.6,6.9,5.71001666666667,0.1,0
"31.01.2026",7.6,8.6,8.08449722222222,0,0
