"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.02.2026",3.5,1.8,2.81983888888889,4,6
"16.02.2026",1,3.3,4.10129444444444,7.8,15
"17.02.2026",1,1.9,5.78885,10.1,15
"18.02.2026",1,1.3,0,2.2,12
"19.02.2026",1,2.4,1.08704722222222,6.3,15
"20.02.2026",2.6,0.5,9.49808333333333,0,13
"21.02.2026",4.9,1.9,8.02149444444444,0,7
"22.02.2026",1.8,4.7,5.57013333333333,0.5,12
"23.02.2026",3,4.9,0,5.5,5
"24.02.2026",6,5.4,9.64993888888889,0,4
"25.02.2026",5.6,6.9,2.15646944444444,5.8,0
