"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"11.12.2025",8.2,14.2,4.78676388888889,0,0
"12.12.2025",7.8,14.4,7.17165,0,0
"13.12.2025",8.4,13.9,7.57971666666667,0,0
"14.12.2025",8.2,12,7.83881111111111,0,0
"15.12.2025",4.8,14.1,0.1447,14.4,0
"16.12.2025",1,13.3,0,35.9,15
"17.12.2025",7.8,14,7.74857777777778,0,0
"18.12.2025",8,13.3,5.97361944444444,0,0
"19.12.2025",7.8,11.6,7.41809444444444,0,0
"20.12.2025",8.2,13.4,7.80343888888889,0,0
"21.12.2025",7.8,10.9,7.80268333333333,0,0
