"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"17.04.2026",10,22.9,12.6937777777778,0,0
"18.04.2026",9.8,23.6,12.6052361111111,0,0
"19.04.2026",9.2,19.2,11.2157666666667,0,0
"20.04.2026",2,15.2,5.58475277777778,2.6,13
"21.04.2026",8.2,16.7,13.3573861111111,0,0
"22.04.2026",7.4,15.6,10.9989194444444,1.3,0
"23.04.2026",7.8,15.7,11.1037333333333,1.8,0
"24.04.2026",8.6,17.6,13.7822944444444,0,0
"25.04.2026",8.2,17.4,13.8302222222222,0,0
"26.04.2026",8.4,17.5,13.8727388888889,0,0
"27.04.2026",9.2,20,13.9098916666667,0,0
