"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"12.03.2026",8.6,9,9.922975,0,0
"13.03.2026",8.8,11.5,10.7430027777778,0,0
"14.03.2026",8.6,9.5,9.85989444444444,0,0
"15.03.2026",8.6,10.8,8.77805833333333,0,0
"16.03.2026",8.8,11,11.0278166666667,0,0
"17.03.2026",8.8,13.6,11.0678416666667,0,0
"18.03.2026",8.6,11.3,10.4315388888889,0,0
"19.03.2026",7.6,8.6,6.87040277777778,0.3,0
"20.03.2026",8.2,9.2,10.9165916666667,0.1,0
"21.03.2026",6.4,6.2,0,0.9,0
"22.03.2026",7.4,9,2.10566111111111,0,0
