"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"31.12.2025",6.6,5.5,4.00490555555556,0.5,1
"01.01.2026",2.7,5,0.182577777777778,6.18,7
"02.01.2026",4.8,4.3,5.60623611111111,2,3
"03.01.2026",3.1,0.5,0.556855555555556,1.1,6
"04.01.2026",6.8,0.2,5.01331388888889,0.1,0
"05.01.2026",6.2,1.5,0,0.3,0
"06.01.2026",6.2,1.3,5.84953055555556,2.5,0
"07.01.2026",4,3.2,0.525080555555556,1.8,4
"08.01.2026",5.8,5.2,0,0.9,0
"09.01.2026",5,5.4,0,3.5,0
"10.01.2026",4.6,4.6,0,3.2,0
