"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"03.12.2025",6.2,7.9,0,0.3,0
"04.12.2025",7.6,8.4,3.30929722222222,0,0
"05.12.2025",6.4,9.7,0,0,0
"06.12.2025",5.6,7.6,0,1.4,0
"07.12.2025",7,7.2,1.18441944444444,0,0
"08.12.2025",6.8,6.6,0.0447944444444444,0,0
"09.12.2025",8,10.4,5.26420833333333,0,0
"10.12.2025",8.4,11.3,8.00219444444445,0,0
"11.12.2025",8.2,11.1,7.98774166666667,0,0
"12.12.2025",8.2,11,7.97475833333333,0,0
"13.12.2025",8.2,12.4,7.81533888888889,0,0
