"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",8.6,15.3,9.06461481481481,3,0
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",8.93333333333333,16.9333333333333,9.59471203703704,3,0
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",7.66666666666667,14.2,5.04708611111111,1,1.5
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",6.93333333333333,15.3666666666667,6.26586944444445,2,0
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",8.93333333333333,17.2666666666667,9.23897962962963,3,0
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",8.8,16.7333333333333,9.43006759259259,3,0
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",8.33333333333333,15.6333333333333,7.81001203703704,2,0.9
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",8.66666666666667,16.3666666666667,9.70495,3,0
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",8.8,15.4666666666667,9.67642314814815,3,0
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",8.8,15.6666666666667,9.71672962962963,3,0
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",7.26666666666667,9.1,3.24381759259259,0,1.1
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",7.8,9.8,5.06467314814815,2,0.4
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",6.53333333333333,5.43333333333333,4.12897962962963,1,1.8
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",8.26666666666667,15.0666666666667,9.31446944444444,2,0.65
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",7.6,15.5666666666667,6.12767777777778,2,1.5
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",8.86666666666667,16.2,9.66511481481482,3,0
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",8.73333333333333,15.6333333333333,9.08246296296296,3,0
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",7.66666666666667,15,6.32163148148148,2,1.5
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",8.8,17.4,9.3745,3,0
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",7.2,7.83333333333333,5.1963212962963,1,0.9
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",8.8,16,9.454475,3,0
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",7.86666666666667,14.3666666666667,5.83645925925926,2,0.6
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",7.6,13.2333333333333,4.04528518518519,2,0.9
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",8.6,14.3,8.91363333333333,3,0
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",7.53333333333333,14.9333333333333,7.21737777777778,2,1.2
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",8.53333333333333,14.2333333333333,7.6001212962963,3,0
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",7.16666666666667,15.8666666666667,6.51795,2,1.2
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",7.46666666666667,13.8,6.0221,1,1.1
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",7.6,13.7333333333333,5.51063240740741,1,2.7
