"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.02.2026",7,0.5,1.44185833333333,0,0
"16.02.2026",3.3,6.4,2.03530277777778,6.31,6
"17.02.2026",1.6,5.8,5.66542222222222,2.9,12
"18.02.2026",6.8,3,6.69253888888889,0,0
"19.02.2026",5.4,1,0,0.4,0
"20.02.2026",2.3,-0.9,9.38664166666667,0,11
"21.02.2026",6.4,2.1,8.58310555555556,0,1
"22.02.2026",4,9.4,0.926477777777778,2.6,5
"23.02.2026",4.2,8.8,1.39811388888889,2.3,5
"24.02.2026",7,8.3,9.61145555555555,0,0
"25.02.2026",7,10.2,7.67071666666667,0.6,0
