"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",5.62857142857143,0.828571428571429,3.95274722222222,2,8.8
"München","Deutschland :de:",5.01428571428571,2.8,5.16714444444444,0,6.3
"Hamburg","Deutschland :de:",5.17142857142857,1.38571428571429,1.93255357142857,2,11.8
"Köln","Deutschland :de:",4.02857142857143,6.34285714285714,2.82475079365079,0,20.2
"Dresden","Deutschland :de:",5.12857142857143,1.77142857142857,4.63617936507937,2,10.6
"Leipzig","Deutschland :de:",5.78571428571429,3.1,4.85391349206349,2,7.6
"Frankfurt am Main","Deutschland :de:",4.72857142857143,4.41428571428571,1.23400555555556,2,19.65
"Freiburg im Breisgau","Deutschland :de:",3.91428571428571,5.77142857142857,3.33612103174603,1,10.55
"Berchtesgaden","Deutschland :de:",4.37142857142857,2.97142857142857,4.73829523809524,2,21.15
"Garmisch-Partenkirchen","Deutschland :de:",4.42857142857143,3.15714285714286,4.85159325396825,3,20.6
"Binz (Rügen)","Deutschland :de:",4.77142857142857,0.185714285714286,2.3016130952381,2,9.4
"Heringsdorf (Usedom)","Deutschland :de:",4.94285714285714,-0.3,2.40749246031746,2,8.5
"Westerland (Sylt)","Deutschland :de:",4.68571428571429,2.6,0.908129761904762,0,24.7
"Wernigerode (Harz)","Deutschland :de:",4.4,2.51428571428571,3.97872896825397,3,22.44
"Cochem (Mosel)","Deutschland :de:",4.8,6.38571428571429,2.36796349206349,0,19.4
"Kempten (Allgäu)","Deutschland :de:",4.25714285714286,2.45714285714286,4.5534996031746,0,13.9
"Nürnberg","Deutschland :de:",4.4,2.9,3.3014,0,9.7
"Münster","Deutschland :de:",4.85714285714286,5.17142857142857,1.98061428571429,2,18.1
"Stuttgart","Deutschland :de:",4.51428571428571,5.01428571428571,4.16602698412698,3,5.8
"Norderney","Deutschland :de:",5.05714285714286,3.97142857142857,2.46193968253968,1,23.3
"Erfurt","Deutschland :de:",4.97142857142857,3.35714285714286,3.9304626984127,4,8.66
"Bremen","Deutschland :de:",4.51428571428571,3.27142857142857,0.922224603174603,1,17.16
"Timmendorfer Strand","Deutschland :de:",5.48571428571429,0.742857142857143,2.36541468253968,2,16.7
"Karlsbad","Tschechien :cz:",4.14285714285714,1.42857142857143,3.49795119047619,2,11.56
"Enschede","Niederlande :nl:",4.88571428571429,4.97142857142857,2.13490992063492,2,22.3
"Pilsen","Tschechien :cz:",5.61428571428571,1.05714285714286,4.46652261904762,2,6
"Maastricht","Niederlande :nl:",4.8,7.7,3.86542063492064,0,36.4
"Giethoorn","Niederlande :nl:",4.88571428571429,4.21428571428571,2.49088214285714,2,19.2
"Groningen","Niederlande :nl:",4.85714285714286,3.67142857142857,2.14005238095238,2,25
"Eindhoven","Niederlande :nl:",5.2,7.4,3.69426746031746,1,15.8
"Prag","Tschechien :cz:",5.55714285714286,0.342857142857143,4.26632738095238,5,3.8
"Luxemburg","Luxemburg :lu:",3.88571428571429,5.04285714285714,3.57968928571429,0,25.7
"Straßburg","Frankreich :fr:",4.57142857142857,6.17142857142857,3.9456746031746,3,4.85
"Amsterdam","Niederlande :nl:",4.47142857142857,5.6,1.80270912698413,2,23
"Dinant","Belgien :be:",3.9,7.25714285714286,2.12652261904762,0,30.8
"Rotterdam","Niederlande :nl:",4.3,7.07142857142857,2.07720277777778,2,20.5
"Antwerpen","Belgien :be:",4.75714285714286,7.71428571428571,2.60448690476191,2,17.1
"Zandvoort","Niederlande :nl:",4.5,6.61428571428571,2.3986873015873,1,18.5
"Český Krumlov","Tschechien :cz:",5.82857142857143,1.51428571428571,5.59403968253968,3,5.3
"Terschelling","Niederlande :nl:",5.22857142857143,5.37142857142857,1.97956388888889,2,23.4
"Noordwijk","Niederlande :nl:",4.44285714285714,6.98571428571429,2.21454365079365,1,18.9
"Bergen aan Zee","Niederlande :nl:",4.48571428571429,6.41428571428571,2.43156984126984,1,19.4
"Nancy","Frankreich :fr:",4.57142857142857,5.45714285714286,3.24132698412698,1,14
"Brüssel","Belgien :be:",4.37142857142857,7.74285714285714,3.09592420634921,0,22.3
"Texel","Niederlande :nl:",4.85714285714286,6.4,2.10444087301587,2,24.7
"Scheveningen","Niederlande :nl:",4.32857142857143,7.3,2.59575912698413,2,18.1
"Fåborg","Dänemark :dk:",4.45714285714286,-0.185714285714286,0.853923412698413,1,22.2
"Salzburg","Österreich :at:",4.48571428571429,2.95714285714286,4.81150396825397,2,14.7
"Renesse","Niederlande :nl:",4.41428571428571,7.9,2.81289563492063,2,17.2
"Linz","Österreich :at:",5.8,1.4,4.7949,5,5.6
"Zürich","Schweiz :ch:",4.31428571428571,3.6,4.16379682539683,1,10.65
"Basel","Schweiz :ch:",4.11428571428571,6.08571428571429,4.57282936507937,0,9.1
