"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"12.11.2025",9,17.1,8.01785,0,0
"13.11.2025",9.4,20.1,8.00106666666667,0,0
"14.11.2025",9.2,18.7,8.00221666666667,0,0
"15.11.2025",7.2,13.7,2.90147777777778,0.9,0
"16.11.2025",6.8,11.1,2.40761388888889,0.6,0
"17.11.2025",1,5.9,0,9.2,15
"18.11.2025",7,3.5,7.83925555555556,0,0
"19.11.2025",7.4,1.8,7.99897222222222,0,0
"20.11.2025",5.2,-0.5,6.42959722222222,2.9,0
"21.11.2025",5.6,-0.1,7.88602222222222,0.8,0
"22.11.2025",6,0.1,5.65681388888889,2.6,0
