"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"24.03.2026",7.2,11.8,0,0,0
"25.03.2026",1.4,10.9,3.90760555555556,3.4,14
"26.03.2026",4.5,6.8,11.5254111111111,2.33,7
"27.03.2026",7.8,10,7.01228611111111,0.2,0
"28.03.2026",7.4,9,9.43061666666667,0.3,0
"29.03.2026",8,10.6,6.63306111111111,0,0
"30.03.2026",6.8,11.4,9.69118055555556,0.3,2
"31.03.2026",8.2,13,9.62807777777778,0,0
"01.04.2026",7.4,11.2,12.3308388888889,1.5,0
"02.04.2026",6.8,8.2,12.2974916666667,2.5,0
"03.04.2026",7.2,7.8,12.8364805555556,1.2,0
